time	temp
30.018	6.9214
30.1192	6.7881
30.23	6.652
30.359	6.5377
30.4704	6.5046
30.5759	6.5515
30.6788	6.6575
30.7802	6.7735
30.8804	6.8693
30.983	6.9387
31.0886	6.972
31.1898	6.968
31.3	6.9379
31.4012	6.9001
31.5046	6.8609
31.608	6.8284
31.7099	6.8081
31.8118	6.7923
31.913	6.7696
32.016	6.7325
32.1161	6.6885
32.2224	6.6412
32.3233	6.5954
32.4317	6.532
32.532	6.4488
32.6332	6.341
32.745	6.1999
32.8463	6.0596
32.9504	5.9299
33.052	5.8537
33.1567	5.8648
33.2581	5.9969
33.3595	6.2727
33.4656	6.7
33.5667	7.2054
33.6692	7.7476
33.772	8.2519
33.8742	8.6762
33.9754	8.9987
34.0854	9.2558
34.1854	9.4392
34.288	9.6032
34.3891	9.7414
34.499	9.8609
34.6	9.9426
34.7	10.0015
34.803	10.0446
34.908	10.0756
35.026	10.0999
35.145	10.1186
35.263	10.137
35.386	10.1621
35.491	10.1928
35.597	10.2368
35.7512	10.3322
35.882	10.4503
35.996	10.5822
36.115	10.7437
36.218	10.8992
36.333	11.0855
36.45	11.2842
36.6067	11.5561
36.715	11.7422
36.8312	11.935
36.966	12.1435
37.075	12.2952
37.1961	12.4407
37.4	12.6228
37.5	12.6857
37.6571	12.7542
37.771	12.784
37.9254	12.8022
38.031	12.8029
38.145	12.7953
38.2534	12.7823
38.424	12.7552
38.549	12.7343
38.6733	12.7162
38.784	12.7049
38.9	12.7002
39	12.7041
39.107	12.7183
39.275	12.7655
39.414	12.8271
39.539	12.8969
39.665	12.9782
39.77	13.0524
39.8935	13.1451
40	13.2277
40.1	13.3062
40.245	13.4187
40.36	13.5043
40.492	13.596
40.624	13.6775
40.7314	13.7342
40.8325	13.7781
40.98	13.8229
41.1023	13.8399
41.2294	13.8378
41.3813	13.8133
41.485	13.7855
41.6	13.7466
41.7528	13.686
41.865	13.638
41.9743	13.5909
42.0746	13.5491
42.1905	13.5048
42.317	13.4641
42.4171	13.4397
42.5278	13.4227
42.6303	13.4183
42.758	13.4307
42.9178	13.479
43.0275	13.5363
43.1377	13.6154
43.261	13.7265
43.3675	13.8386
43.5	13.9941
43.6	14.1204
43.7	14.2516
43.809	14.3976
43.988	14.6362
44.2	14.9007
44.326	15.04
44.5	15.2049
44.6	15.2863
44.7	15.3587
44.8044	15.4256
45	15.5293
45.135	15.5869
