Camelliacarpoidea	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Canariophyllum	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Canarium	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  0	  3	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	2
Carpestella	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Carpinus	NaN	NaN	NaN	NaN	  2	  0	  0	  2	  2	  2	  2	  2	  2	  3	  2	  2	  2	  3	  2	  3	  2	  2	  2	  2	  2	2	2	3
Carpolithes	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  2	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  2	2	2	0
Carya	  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	  3	  3	  3	  3	  3	  2	  3	  3	  3	  2	  3	  3	  3	3	3	3
Castanea	  1	  1	  1	  1	  1	  1	  0	  0	  2	  0	  0	  0	  1	  1	  1	  1	  0	  0	  2	  0	  0	  3	  3	  0	  3	0	1	3
Castanopsis	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  1	  1	  1	  1	  0	  0	  1	  0	  0	  0	  0	  0	  2	  2	  0	  2	3	0	2
Caulopteris	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cayratia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	2
Ceanothus	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  1	  1	  1	  1	  1	1	0	1
Cedrela	NaN	NaN	NaN	NaN	NaN	  3	  0	  0	  1	  1	  0	  0	  1	  1	  1	  1	  0	  1	  0	  1	  1	  0	  1	  1	  3	1	0	1
Cedrelospermum	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  1	  1	  1	  2	  1	  1	  1	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	0	0	0
Celastrophyllum	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Celastrus	  1	  0	  0	  0	  0	  0	  0	  1	  0	  1	  1	  0	  0	  1	  1	  1	  0	  0	  1	  1	  0	  0	  0	  0	  0	0	0	3
Celtis	NaN	  1	  1	  1	  1	  3	  1	  1	  2	  0	  3	  0	  1	  3	  1	  0	  0	  0	  2	  3	  2	  2	  3	  3	  3	3	3	3
Ceratosporites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Ceratozamia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	1
Cercidiphyllum	  1	  1	  1	  1	  3	  3	  1	  0	  1	  0	  0	  1	  0	  1	  3	  3	  0	  2	  0	  1	  3	  2	  2	  2	  0	2	0	2
Cercis	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  1	  1	  0	  1	  1	  0	  1	  1	  3	  0	  0	0	0	3
Chaetoptelea	  1	  1	  1	  1	  1	  1	  1	  0	  1	  1	  1	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Chrysobalanus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	1
Cicatricosisporites	  0	  0	  2	  0	  1	  1	  1	  1	  1	  3	  3	  1	  1	  1	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0	0	0
Cinnamomum	  1	  1	  1	  0	  1	  2	  2	  2	  2	  2	  3	  2	  0	  0	  0	  2	  0	  0	  2	  2	  2	  2	  2	  2	  2	0	0	2
Cissus	  1	  1	  1	  1	  1	  0	  1	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	3
Cladophlebis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cladoxylon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cladrastis	NaN	  2	  0	  0	  0	  3	  0	  1	  1	  0	  0	  1	  1	  1	  1	  1	  0	  2	  0	  0	  2	  2	  3	  2	  2	0	0	3
Classopollis	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	0	0	0
Clathraria	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cleyera	NaN	NaN	NaN	NaN	NaN	  2	  0	  3	  2	  2	  2	  2	  2	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0	0	3
Coahuilacarpon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Coahuiloxylon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cobbania	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cocculus	  1	  1	  0	  2	  3	  0	  0	  0	  0	  0	  0	  2	  1	  0	  0	  0	  0	  0	  0	  0	  0	  1	  2	  2	  2	1	0	3
Comptonia	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  0	  3	  1	  0	  0	  2	  3	  2	  2	  2	  0	  0	  0	  3	  2	  2	  1	2	0	1
