Species	Status	min_age	max_age	trait
Ursavus_primaevus	extinct	11.2	12.5	90000
Ursavus_primaevus	extinct	11.2	12.5	90000
Ursavus_primaevus	extinct	9.5	11.2	90000
Ursavus_primaevus	extinct	13.2	13.2	90000
Ursavus_primaevus	extinct	15.5	15.6	90000
Ursavus_primaevus	extinct	16.4	16.4	90000
Ursavus_primaevus	extinct	11.608	15.97	90000
Ursavus_primaevus	extinct	7.246	13.65	90000
Ursavus_primaevus	extinct	13.65	15.97	90000
Ursavus_sylvestris	extinct	7.1	8.2	NA
Ursus_abstrusus	extinct	3.9	3.9	NA
Ursus_abstrusus	extinct	4.4	4.5	NA
Ursus_abstrusus	extinct	4.5	4.5	NA
Ursus_americanus	extant	0.3	0.3	110500
Ursus_americanus	extant	2	2	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.8	0.9	110500
Ursus_americanus	extant	0.8	0.9	110500
Ursus_americanus	extant	0.8	0.9	110500
Ursus_americanus	extant	0.8	0.9	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.012	0.3	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.4	0.4	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.3	110500
Ursus_americanus	extant	0.3	0.3	110500
Ursus_americanus	extant	0.4	0.9	110500
Ursus_americanus	extant	0.01207	0.01207	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.02516	0.03359	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	2.588	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.0294	0.0294	110500
Ursus_americanus	extant	0	0.012	110500
Ursus_americanus	extant	0.00347	0.00351	110500
Ursus_americanus	extant	0.00351	0.006335	110500
Ursus_americanus	extant	0.006335	0.006335	110500
Ursus_americanus	extant	0	0.126	110500
Ursus_americanus	extant	0	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0	2.588	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0	0.126	110500
Ursus_americanus	extant	0	0.012	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0.012	0.126	110500
Ursus_americanus	extant	0	0.012	110500
Ursus_americanus	extant	0.012	2.588	110500
Ursus_americanus	extant	0.012	2.588	110500
Ursus_arctos	extant	0.036	0.115	196287.5
Ursus_arctos	extant	0.01021	0.03009	196287.5
Ursus_arctos	extant	0.01	0.036	196287.5
Ursus_arctos	extant	0.013	0.017	196287.5
Ursus_arctos	extant	0.0199	0.0217	196287.5
Ursus_arctos	extant	0	0.01	196287.5
Ursus_arctos	extant	0.009375	0.02449	196287.5
