clade	species	ts	te
0	157	101.236710191	91.9294689582
0	158	100.949267316	77.8695355766
0	159	122.854679066	91.344856519
0	160	115.657690644	86.6323874311
0	161	207.388521717	139.048277668
0	162	243.231478881	50.1362500506
0	163	16.3225386669	0.0
0	164	243.045762394	237.289140443
0	165	261.231913531	252.180579865
0	166	37.7158007862	0.0
0	167	8.48734231514	0.0
0	168	36.5885265684	0.0
0	169	315.923848353	269.552564767
0	170	40.5900579022	0.0
0	171	321.188826584	302.796079537
0	172	148.80798396	0.0
0	173	137.187864972	102.371274668
0	174	191.406677008	148.632355137
0	175	109.36059687	0.0
0	176	57.8377548566	35.9453054232
0	177	240.888309611	234.238471482
0	178	227.406062374	0.0
0	179	246.007149647	82.8313242512
0	180	195.425803401	0.0
0	181	112.484401474	98.9903914126
0	182	206.983316764	0.0
0	183	183.66159201	76.8143147287
0	184	356.123179773	253.392176516
0	185	85.4641812328	64.3749275225
0	186	110.282156692	90.3417953981
0	187	86.7790199728	68.1309793636
0	188	242.546636485	236.243343522
0	189	258.305007243	85.7976783483
0	190	46.5167282075	0.0
0	191	87.3799594579	66.8053955678
0	192	233.757094227	106.137895877
0	193	167.614617863	139.182717998
0	194	238.247237285	221.152499553
0	195	348.432009746	294.600422551
0	196	110.951558231	86.1427395833
0	197	116.591250402	88.1560013294
0	198	193.080138963	63.9566758889
0	199	297.485359202	132.821264956
0	200	10.7765741319	0.0
0	201	244.210681788	234.961703695
0	202	141.551410561	106.757260864
0	203	230.775757649	207.070051973
0	204	324.88527812	301.090608461
0	205	303.11217091	270.409844266
0	206	123.663507524	92.2693995503
0	207	242.179874613	235.77899715
0	208	239.599129797	227.090518098
0	209	243.694038157	237.956339574
0	210	241.841315663	223.791803756
0	211	243.204892367	236.450420321
0	212	242.735636601	236.30149478
0	213	152.778546818	116.692905139
0	214	135.664008928	0.0
0	215	353.663995482	209.876142962
0	216	112.164619607	0.0
0	217	180.685471271	83.0120910193
0	218	24.5506353049	0.0
0	219	220.865461457	0.0
0	220	249.757901339	70.3718588015
0	221	73.9871856131	0.0
0	222	243.696950881	126.373395842
0	223	40.4501595755	0.0
0	224	260.802963111	251.606089861
0	225	300.815273119	252.832349715
0	226	288.150433862	254.435734017
0	227	115.156489769	86.3916159829
0	228	51.7308774481	32.6813668088
0	229	316.474490969	293.15306973
0	230	297.863345985	267.338423759
0	231	80.9536625412	59.6486635442
0	232	248.01721401	222.522937942
0	233	378.884823292	40.737236758
0	234	303.373333194	269.07635681
0	235	228.476829492	202.709099417
0	236	9.65337141578	0.0
0	237	144.881428527	108.403217343
0	238	319.657245785	295.275374342
0	239	311.31836148	283.158111753
0	240	239.62813007	102.181615812
0	241	148.159835272	91.9794168535
0	242	302.492709396	226.823495907
0	243	207.043814581	97.0279164
0	244	89.7764192419	0.0
0	245	6.01018722608	0.0
0	246	41.6167901874	0.0
0	247	51.2781107606	0.0
0	248	79.9167953277	0.0
0	249	261.972233211	252.148195262
0	250	43.4890522523	26.9929100736
0	251	147.614576637	81.1274347013
0	252	355.004104411	299.33577782
0	253	393.235893269	248.800952046
0	254	380.061465831	363.871755328
0	255	42.0757514194	0.0
0	256	36.9949694048	0.0
0	257	99.7674319761	0.0
0	258	153.161099192	117.032391345
0	259	243.27968868	236.913148537
0	260	326.149753292	248.70229115
0	261	5.55421131969	0.0
0	262	296.234627408	248.849862231
0	263	319.776285492	295.812268919
0	264	260.36214729	250.990797494
0	265	352.34744077	247.356084232
0	266	226.301411628	126.879219929
0	267	306.018514901	274.89098156
0	268	102.38253514	0.0
0	269	168.946745002	131.720544352
0	270	335.834951426	305.212989112
0	271	322.693662409	298.778075978
0	272	229.271341863	205.21383579
0	273	88.2515550745	67.8326205102
0	274	232.86205327	202.694574194
0	275	77.8254508506	56.5877783467
0	276	236.197386414	227.027334233
0	277	369.259479348	362.099453402
0	278	160.853813847	31.4145632064
0	279	50.1611224626	0.0
0	280	103.038364883	0.0
0	281	302.811173731	267.167484074
0	282	74.2075793519	37.0358311777
0	283	83.241010165	0.0
0	284	64.051888866	0.0
0	285	153.318415013	117.694550781
0	286	140.028361859	72.1972351953
0	287	94.7917074279	73.1705788135
0	288	295.073937921	153.430729897
0	289	245.995568535	240.205367289
0	290	245.871413933	239.666032574
0	291	321.810409952	239.985102299
0	292	253.690298269	238.341446078
0	293	211.842916886	154.277945785
0	294	173.219653582	133.992035797
0	295	262.150185005	251.741877704
0	296	351.662370157	260.148022538
0	297	314.232481	289.677817552
0	298	138.080137178	74.1027132539
0	299	320.35373743	291.738302661
0	300	261.869670856	251.135986902
0	301	261.901897006	252.345288837
0	302	155.208129037	117.401711582
0	303	245.555701217	240.191839228
0	304	245.437282424	239.649550671
0	305	75.0013276545	48.740376597
0	306	347.320193166	290.846825609
0	307	367.595179276	251.588567315
0	308	326.555425361	33.9871238408
0	309	199.213649068	152.701367226
0	310	86.3166535346	0.0
0	311	240.390308381	225.609712942
0	312	152.056255986	117.121411285
0	313	321.232163192	297.523070697
0	314	241.749876087	199.518059121
0	315	295.043145733	261.65149738
0	316	261.669880619	251.918229161
0	317	194.223227242	151.586515287
0	318	300.672658876	276.218531583
0	319	57.6111214527	35.7942413271
0	320	134.196462991	0.0
0	321	143.917489792	69.1595852455
0	322	286.930965615	265.628876076
0	323	244.173043793	179.275186886
0	324	7.7876474646	1.74073133653
0	325	74.9343169	0.0
0	326	338.733980484	0.0
0	327	298.437581042	258.230065529
0	328	37.620124667	0.0
0	329	192.411302844	0.0
0	330	257.572056949	117.405405421
0	331	242.261432872	235.733279394
0	332	229.509474727	204.118863711
0	333	56.8324411017	35.3427542671
0	334	85.8615341289	0.0
0	335	293.835539169	249.02026465
0	336	320.505807278	251.504048503
0	337	292.610937241	246.897838723
0	338	293.064582008	248.712959875
0	339	187.400912357	79.1207728981
0	340	97.587843703	5.61136062524
0	341	232.304801389	201.818818543
0	342	125.6353086	0.0
0	343	374.391649774	367.995825991
0	344	137.49256556	102.29580892
0	345	141.81977844	106.509599955
0	346	262.371263021	252.215367714
0	347	257.546708394	249.679867656
0	348	261.356486797	251.995507977
