Taxon_name	Status	MinAge	MaxAge	Site
Baculites	extinct	72.2	83.6	1718
Baculites	extinct	72.2	83.6	1719
Scaphites	extinct	72.2	83.6	1719
Hoploscaphites	extinct	72.2	83.6	1719
Baculites	extinct	72.2	83.6	1720
Scaphites	extinct	72.2	83.6	1720
Hoploscaphites	extinct	72.2	83.6	1720
Baculites	extinct	72.2	83.6	1721
Baculites	extinct	72.2	83.6	1722
Scaphites	extinct	72.2	83.6	1722
Baculites	extinct	72.2	83.6	1723
Baculites	extinct	72.2	83.6	1724
Placenticeras	extinct	72.2	83.6	1724
Baculites	extinct	72.2	83.6	1725
Baculites	extinct	72.2	83.6	1726
Scaphites	extinct	72.2	83.6	1726
Baculites	extinct	72.2	83.6	1727
Hoploscaphites	extinct	72.2	83.6	1727
Baculites	extinct	72.2	83.6	1728
Scaphites	extinct	72.2	83.6	1728
Baculites	extinct	72.2	83.6	1729
Hoploscaphites	extinct	72.2	83.6	1729
Baculites	extinct	72.2	83.6	1730
Scaphites	extinct	72.2	83.6	1730
Baculites	extinct	72.2	83.6	1731
Hoploscaphites	extinct	72.2	83.6	1731
Baculites	extinct	72.2	83.6	1732
Baculites	extinct	72.2	83.6	1733
Hoploscaphites	extinct	72.2	83.6	1733
Baculites	extinct	72.2	83.6	1734
Hoploscaphites	extinct	72.2	83.6	1734
Baculites	extinct	72.2	83.6	1735
Hoploscaphites	extinct	72.2	83.6	1735
Baculites	extinct	72.2	83.6	1736
Baculites	extinct	72.2	83.6	1737
Hoploscaphites	extinct	72.2	83.6	1737
Baculites	extinct	72.2	83.6	1738
Baculites	extinct	72.2	83.6	1739
Baculites	extinct	72.2	83.6	1740
Hoploscaphites	extinct	72.2	83.6	1740
Placenticeras	extinct	72.2	83.6	1740
Baculites	extinct	72.2	83.6	1741
Baculites	extinct	72.2	83.6	1742
Baculites	extinct	72.2	83.6	1743
Prodeshayesites	extinct	113.2	121.4	1745
Roloboceras	extinct	113.2	121.4	1745
Deshayesites	extinct	113.2	121.4	1745
