time	diversity	m_div	M_div
8.93270785229257	54.0	54	54
9.033075356250913	55.0	55	55
9.133442860209257	57.0	57	57
9.233810364167601	58.0	58	58
9.334177868125945	57.0	57	57
9.434545372084287	58.0	58	58
9.53491287604263	59.0	59	59
9.635280380000975	57.0	57	57
9.735647883959318	56.0	56	56
9.836015387917662	55.0	55	55
9.936382891876004	54.0	54	54
10.036750395834348	54.0	54	54
10.137117899792692	53.0	53	53
10.237485403751036	51.0	51	51
10.33785290770938	49.0	49	49
10.438220411667722	48.0	48	48
10.538587915626065	47.0	47	47
10.63895541958441	46.0	46	46
10.739322923542753	45.0	45	45
10.839690427501097	45.0	45	45
10.94005793145944	45.0	45	45
11.040425435417783	45.0	45	45
11.140792939376126	45.0	45	45
11.24116044333447	45.0	45	45
11.341527947292814	45.0	45	45
11.441895451251158	45.0	45	45
11.5422629552095	45.0	45	45
11.642630459167844	45.0	45	45
11.742997963126188	44.0	44	44
11.843365467084531	44.0	44	44
11.943732971042875	42.0	42	42
12.044100475001219	41.0	41	41
12.144467978959561	42.0	42	42
12.244835482917905	41.0	41	41
12.345202986876249	38.0	38	38
12.445570490834593	37.0	37	37
12.545937994792936	38.0	38	38
12.646305498751278	40.0	40	40
12.746673002709622	37.0	37	37
12.847040506667966	37.0	37	37
12.94740801062631	37.0	37	37
13.047775514584654	39.0	39	39
13.148143018542996	39.0	39	39
13.24851052250134	38.0	38	38
13.348878026459683	39.0	39	39
13.449245530418027	41.0	41	41
13.549613034376371	40.0	40	40
13.649980538334713	40.0	40	40
13.750348042293057	41.0	41	41
13.8507155462514	40.0	40	40
13.951083050209744	38.0	38	38
14.051450554168088	37.0	37	37
14.151818058126432	37.0	37	37
14.252185562084774	37.0	37	37
14.352553066043118	37.0	37	37
14.452920570001462	37.0	37	37
14.553288073959806	34.0	34	34
14.65365557791815	34.0	34	34
14.754023081876491	34.0	34	34
14.854390585834835	34.0	34	34
14.954758089793179	35.0	35	35
15.055125593751523	35.0	35	35
15.155493097709867	35.0	35	35
15.25586060166821	35.0	35	35
15.356228105626553	35.0	35	35
15.456595609584896	36.0	36	36
15.55696311354324	36.0	36	36
15.657330617501584	36.0	36	36
15.757698121459928	37.0	37	37
15.85806562541827	39.0	39	39
15.958433129376614	39.0	39	39
16.058800633334958	40.0	40	40
16.1591681372933	39.0	39	39
16.259535641251645	40.0	40	40
16.359903145209987	41.0	41	41
16.460270649168333	41.0	41	41
16.560638153126675	42.0	42	42
16.661005657085017	43.0	43	43
16.761373161043363	43.0	43	43
16.861740665001705	43.0	43	43
16.96210816896005	44.0	44	44
17.062475672918392	41.0	41	41
17.162843176876734	41.0	41	41
17.26321068083508	43.0	43	43
17.363578184793422	41.0	41	41
17.463945688751767	41.0	41	41
17.56431319271011	41.0	41	41
17.664680696668455	42.0	42	42
17.765048200626797	42.0	42	42
17.86541570458514	43.0	43	43
17.965783208543485	42.0	42	42
18.066150712501827	41.0	41	41
18.166518216460172	40.0	40	40
18.266885720418514	40.0	40	40
18.367253224376856	39.0	39	39
18.467620728335202	38.0	38	38
18.567988232293544	38.0	38	38
18.66835573625189	38.0	38	38
18.76872324021023	37.0	37	37
18.869090744168574	37.0	37	37
18.96945824812692	37.0	37	37
19.06982575208526	37.0	37	37
19.170193256043607	37.0	37	37
19.27056076000195	36.0	36	36
19.37092826396029	33.0	33	33
19.471295767918637	32.0	32	32
19.57166327187698	31.0	31	31
19.672030775835324	32.0	32	32
19.772398279793666	31.0	31	31
19.87276578375201	31.0	31	31
19.973133287710354	31.0	31	31
20.073500791668696	31.0	31	31
20.17386829562704	29.0	29	29
20.274235799585384	26.0	26	26
20.374603303543726	26.0	26	26
20.47497080750207	26.0	26	26
20.575338311460413	27.0	27	27
20.67570581541876	27.0	27	27
20.7760733193771	27.0	27	27
20.876440823335443	27.0	27	27
20.97680832729379	26.0	26	26
21.07717583125213	26.0	26	26
21.177543335210476	26.0	26	26
21.27791083916882	25.0	25	25
21.378278343127164	25.0	25	25
21.478645847085506	24.0	24	24
21.579013351043848	24.0	24	24
21.679380855002194	23.0	23	23
21.779748358960536	21.0	21	21
21.88011586291888	22.0	22	22
21.980483366877223	22.0	22	22
22.080850870835565	22.0	22	22
22.18121837479391	22.0	22	22
22.281585878752253	22.0	22	22
22.3819533827106	21.0	21	21
22.48232088666894	21.0	21	21
22.582688390627283	21.0	21	21
22.683055894585628	20.0	20	20
22.78342339854397	20.0	20	20
22.883790902502316	18.0	18	18
22.984158406460658	17.0	17	17
23.084525910419	16.0	16	16
23.184893414377346	16.0	16	16
23.285260918335688	14.0	14	14
23.385628422294033	13.0	13	13
