scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica
Magericyon	1	0	0	0	0	0	0	0	2.30482785408379	1	0
Mammacyon	1	0	0	0	0	0	0	0	1.39198942555138	0	1
Marcetia	0	0	0	0	0	1	0	0	-0.583340888832013	1	0
Martes	0	0	0	0	0	1	0	0	-1.19661197659626	1	1
Martinogale	0	0	0	0	0	1	0	0	-1.60805099848423	0	1
Megalenhydris	0	0	0	0	0	1	0	0	0.190958870283529	1	0
Megantereon	0	0	1	0	0	0	0	0	1.15953136781519	1	1
Megaviverra	0	0	0	0	0	0	0	1	-0.430788070029853	1	0
Meiniogale	1	0	0	0	0	0	0	0	2.04730833049358	1	0
Meles	0	0	0	0	0	1	0	0	-0.115156966296017	1	0
Melidellavus	0	0	0	0	0	1	0	0	-0.991347356819373	1	0
Mellivora	0	0	0	0	0	1	0	0	-0.150253970950926	1	0
Melodon	0	0	0	0	0	1	0	0	-0.624160494723771	1	0
Melogale	0	0	0	0	0	1	0	0	-1.17021513560642	1	0
Melursus	0	0	0	0	0	0	1	0	1.28996317511746	1	0
Mephitis	0	0	0	0	0	1	0	0	-1.21711773477834	0	1
Metailurus	0	0	1	0	0	0	0	0	1.02865208978031	1	1
Metalopex	0	1	0	0	0	0	0	0	-0.174450109131369	0	1
Metatomarctus	0	1	0	0	0	0	0	0	-0.340928522191338	0	1
Microtomarctus	0	1	0	0	0	0	0	0	0.267965967077603	0	1
Miohyaenotherium	0	0	0	0	1	0	0	0	1.32737430467276	1	0
Miomachairodus	0	0	1	0	0	0	0	0	1.53802734250561	1	0
Miomaci	0	0	0	0	0	0	1	0	0.888332467141693	1	0
Miomustela	0	0	0	0	0	1	0	0	-1.92387129521521	0	1
Mionictis	0	0	0	0	0	1	0	0	-0.423898724532242	1	1
Miracinonyx	0	0	1	0	0	0	0	0	0.846705374520148	0	1
Mustela	0	0	0	0	0	1	0	0	-1.95049589200941	1	1
Nannomephitis	0	0	0	0	0	1	0	0	-0.832299890237337	1	0
Nasua	0	0	0	0	0	1	0	0	-0.635541461302959	0	1
Negodiaetictis	0	0	0	0	0	1	0	0	-0.666926213306902	0	1
Neofelis	0	0	1	0	0	0	0	0	0.379380404119814	1	0
Neovison	0	0	0	0	0	1	0	0	-1.39844648864338	0	1
Nimravides	0	0	1	0	0	0	0	0	1.37941050160895	0	1
Nimravus	0	0	0	1	0	0	0	0	0.387680451480197	1	0
Nyctereutes	0	1	0	0	0	0	0	0	-0.237417629581668	1	0
Oligobunis	0	0	0	0	0	1	0	0	-0.482523750503324	1	1
Osbornodon	0	1	0	0	0	0	0	0	0.313450180966933	0	1
Osmotherium	0	0	0	0	0	1	0	0	-1.47741895064803	0	1
Pachycrocuta	0	0	0	0	1	0	0	0	1.64526713061157	1	0
Paguma	0	0	0	0	0	0	0	1	-0.56022315716118	1	0
Palaeogale	0	0	0	1	0	0	0	0	-0.907198127055327	1	1
Palinhyaena	0	0	0	0	1	0	0	0	0.377911265407662	1	0
Paludolutra	0	0	0	0	0	1	0	0	0.0493414115873785	1	0
Pannonictis	0	0	0	0	0	1	0	0	-0.944477146924277	1	0
Panthera	0	0	1	0	0	0	0	0	1.33278219924754	1	1
Parabrachypsalis	0	0	0	0	0	1	0	0	-0.278385515825724	0	1
Paracynarctus	0	1	0	0	0	0	0	0	0.251981794286291	0	1
Paradaphoenus	1	0	0	0	0	0	0	0	-0.475264846355524	0	1
Paradoxurus	0	0	0	0	0	0	0	1	-0.822408343993564	1	0
Paragale	0	0	0	0	0	1	0	0	-0.9801796257304	1	0
Parahyaena	0	0	0	0	1	0	0	0	0.51576593592289	1	0
Parailurus	0	0	0	0	0	1	0	0	-0.424093924610974	1	1
Paralutra	0	0	0	0	0	1	0	0	-0.116367449891934	1	0
Paramachaerodus	0	0	1	0	0	0	0	0	1.2551052427277	1	0
Paramartes	0	0	0	0	0	1	0	0	-0.813544866181391	1	0
Parameles	0	0	0	0	0	1	0	0	0.196000564419967	1	0
Paranasua	0	0	0	0	0	1	0	0	-0.0338264932520799	0	1
Paraoligobunus	0	0	0	0	0	1	0	0	-0.884065407423995	0	1
Parapotos	0	0	0	0	0	1	0	0	-0.168978225457706	0	1
Parataxidea	0	0	0	0	0	1	0	0	-0.899288202471247	1	1
