scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica
Euoplocyon	0	1	0	0	0	0	0	0	0.427287269542879	0	1
Euplocyon	0	1	0	0	0	0	0	0	-0.0150588487845848	0	1
Felis	0	0	1	0	0	0	0	0	-0.402844813633418	1	1
Ferinestrix	0	0	0	0	0	1	0	0	0.257182247623156	0	1
Ferrucyon	0	1	0	0	0	0	0	0	0.593581557348831	0	1
Floridictis	0	0	0	0	0	1	0	0	0.686581367490923	0	1
Franconictis	0	0	0	0	0	1	0	0	-1.03580784118654	1	0
Gaillardina	0	0	0	0	0	1	0	0	0.443436639727143	1	0
Gobicyon	0	1	0	0	0	0	0	0	1.62929156868463	1	0
Goupilictis	1	0	0	0	0	0	0	0	-0.0489909676564967	1	0
Grivamephitis	0	0	0	0	0	1	0	0	-1.67900382743263	1	0
Gulo	0	0	0	0	0	1	0	0	0.278327810358799	1	1
Hadrictis	0	0	0	0	0	1	0	0	0.98591694233765	1	0
Haplocyon	1	0	0	0	0	0	0	0	0.94569705280643	1	0
Haplocyonoides	1	0	0	0	0	0	0	0	0.844741015891142	1	0
Helarctos	0	0	0	0	0	0	1	0	0.884849018455224	1	0
Hemicyon	0	0	0	0	0	0	1	0	1.22802628864389	1	1
Herpestes	0	0	0	1	0	0	0	0	-1.08267955716037	1	0
Herpestides	0	0	0	0	0	0	0	1	-0.903837076848465	1	0
Hesperoviverra	0	0	0	0	0	0	0	1	0.201848411646293	1	0
Homotherium	0	0	1	0	0	0	0	0	1.71783605187238	1	1
Hoplictis	0	0	0	0	0	1	0	0	0.0334169469824893	1	1
Hyaena	0	0	0	0	1	0	0	0	0.774024278311452	1	0
Hyaenarctis	0	0	0	0	0	0	1	0	0.0794573371928981	1	0
Hyaenictis	0	0	0	0	1	0	0	0	0.559674159819958	1	0
Hyaenictitherium	0	0	0	0	1	0	0	0	0.271134200970816	1	0
Hyaenotherium	0	0	0	0	1	0	0	0	0.542317143490669	1	0
Hypsoparia	0	0	0	0	0	1	0	0	-0.803531710784981	0	1
Iberictis	0	0	0	0	0	1	0	0	-0.378784338439204	1	0
Ictiocyon	1	0	0	0	0	0	0	0	0.584553126032591	1	0
Ictitherium	0	0	0	0	1	0	0	0	0.243859296670935	1	0
Indarctos	0	0	0	0	0	0	1	0	2.04764054796059	1	1
Ischyrictis	0	0	0	0	0	1	0	0	-0.26885845765852	1	0
Ischyrocyon	1	0	0	0	0	0	0	0	1.89946832068567	0	1
Jourdanictis	0	0	0	0	0	0	0	1	-1.22744398645838	1	0
Kolponomos	0	0	0	0	0	0	1	0	1.43229647818594	0	1
Kretzoiarctos	0	0	0	0	0	0	1	0	1.74759066165103	1	0
Laphyctis	0	0	0	0	0	1	0	0	-0.404443056398318	1	0
Lartetictis	0	0	0	0	0	1	0	0	-0.298430557832922	1	0
Legionarictis	0	0	0	0	0	1	0	0	-0.739142682519673	0	1
Leopardus	0	0	1	0	0	0	0	0	-0.704390513074594	0	1
Leptarctus	0	0	0	0	0	1	0	0	-0.631227978510756	1	1
Leptocyon	0	1	0	0	0	0	0	0	-0.713968282946352	0	1
Leptoplesictis	0	0	0	0	0	0	0	1	-1.39311766245534	1	0
Limnonyx	0	0	0	0	0	1	0	0	-0.256611301501684	1	1
Lontra	0	0	0	0	0	1	0	0	-0.21575351341462	0	1
Lophocyon	0	0	0	0	0	0	0	1	-0.611840207685399	1	0
Lutra	0	0	0	0	0	1	0	0	-0.120358854590022	1	1
Lutraeximia	0	0	0	0	0	1	0	0	0.0929335083864557	1	0
Lutravus	0	0	0	0	0	1	0	0	-0.389830942151099	0	1
Lutrogale	0	0	0	0	0	1	0	0	-0.0423505478897191	1	0
Lycaena	0	0	0	0	1	0	0	0	0.0611605108730075	1	0
Lycaon	0	1	0	0	0	0	0	0	0.730547921835425	1	0
Lycyaena	0	0	0	0	1	0	0	0	0.818229878474174	1	0
Lynx	0	0	1	0	0	0	0	0	-0.0804096212578605	1	1
Machairodus	0	0	1	0	0	0	0	0	0.86839486359488	1	1
Maemohcyon	1	0	0	0	0	0	0	0	1.45320878362573	1	0
Magerictis	0	0	0	0	0	1	0	0	-0.374027559371468	1	0
Magericyon	1	0	0	0	0	0	0	0	2.3213863744308	1	0
Mammacyon	1	0	0	0	0	0	0	0	1.40610983934915	0	1
Marcetia	0	0	0	0	0	1	0	0	-0.574496398599547	1	0
Martes	0	0	0	0	0	1	0	0	-1.18940547640541	1	1
Martinogale	0	0	0	0	0	1	0	0	-1.60194341365729	0	1
Matanomictis	0	0	0	0	0	1	0	0	-1.24387134035848	1	0
Megalenhydris	0	0	0	0	0	1	0	0	0.201871443163228	1	0
Megalictis	0	0	0	0	0	1	0	0	-0.0372264203497067	0	1
Megantereon	0	0	1	0	0	0	0	0	1.17303090775919	1	1
Megaviverra	0	0	0	0	0	0	0	1	-0.421536125405679	1	0
Meiniogale	1	0	0	0	0	0	0	0	2.06317904014223	1	0
Meles	0	0	0	0	0	1	0	0	-0.105062000347253	1	0
Melidellavus	0	0	0	0	0	1	0	0	-0.983592613918571	1	0
Mellivora	0	0	0	0	0	1	0	0	-0.140252745837597	1	0
Melodon	0	0	0	0	0	1	0	0	-0.615425029862447	1	0
Melogale	0	0	0	0	0	1	0	0	-1.16293813190817	1	0
Melursus	0	0	0	0	0	0	1	0	1.30381108628869	1	0
Mephitis	0	0	0	0	0	1	0	0	-1.20996600356057	0	1
Mesocyon	0	1	0	0	0	0	0	0	-0.510443351373439	0	1
Metailurus	0	0	1	0	0	0	0	0	1.04180206334437	1	1
Metalopex	0	1	0	0	0	0	0	0	-0.164513509652895	0	1
Metatomarctus	0	1	0	0	0	0	0	0	-0.331436571071764	0	1
Microtomarctus	0	1	0	0	0	0	0	0	0.279084218751229	0	1
Miohyaenotherium	0	0	0	0	1	0	0	0	1.34132213749183	1	0
Miomachairodus	0	0	1	0	0	0	0	0	1.55253780999813	1	0
Miomaci	0	0	0	0	0	0	1	0	0.901107660043318	1	0
Miomustela	0	0	0	0	0	1	0	0	-1.91860723702976	0	1
Mionictis	0	0	0	0	0	1	0	0	-0.414628379106947	1	1
Miracinonyx	0	0	1	0	0	0	0	0	0.859369385328672	0	1
Mustela	0	0	0	0	0	1	0	0	-1.94530294564592	1	1
Nannomephitis	0	0	0	0	0	1	0	0	-0.824120346344603	1	0
Nasua	0	0	0	0	0	1	0	0	-0.626836393944945	0	1
Negodiaetictis	0	0	0	0	0	1	0	0	-0.658304971702729	0	1
Neofelis	0	0	1	0	0	0	0	0	0.390796233393311	1	0
Neovison	0	0	0	0	0	1	0	0	-1.39177906966373	0	1
Nimravides	0	0	1	0	0	0	0	0	1.3934973182707	0	1
Nimravus	0	0	0	1	0	0	0	0	0.399118449408295	1	1
