scientificName	Status	earliestAge	latestAge
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	2.588	1.806
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	13.6	4.9
Borophagus	Extinct	5.333	3.6
Borophagus	Extinct	5.333	3.6
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	11.608	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	4.9	1.8
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Brachyopsigale	Extinct	10.3	4.9
Brachyopsigale	Extinct	10.3	4.9
Brachyopsigale	Extinct	4.9	1.8
Brachyopsigale	Extinct	4.9	1.8
Brachyprotoma	Extant	1.8	0.3
Brachyprotoma	Extant	1.8	0.3
Brachyprotoma	Extant	1.8	0.3
Brachyprotoma	Extant	1.8	0.3
Brachyprotoma	Extant	0.126	0.0117
Brachyprotoma	Extant	0.126	0
Brachyprotoma	Extant	0.126	0
Brachyprotoma	Extant	0.126	0.0117
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	20.43	15.97
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	23.03	5.333
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	23.03	5.333
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	23.03	5.333
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	15.97	13.6
Brachypsalis	Extinct	20.43	15.97
Brachypsalis	Extinct	20.43	15.97
Brevimalictis	Extinct	15.97	13.6
Broiliana	Extinct	15.97	13.82
Broiliana	Extinct	23.03	22.4
Buisnictis	Extinct	10.3	4.9
Buisnictis	Extinct	10.3	4.9
Buisnictis	Extinct	10.3	4.9
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Buisnictis	Extinct	4.9	1.8
Canis	Extant	10.3	4.9
Canis	Extant	10.3	4.9
Canis	Extant	10.3	1.8
Canis	Extant	10.3	4.9
Canis	Extant	10.3	4.9
Canis	Extant	10.3	4.9
Canis	Extant	10.3	4.9
Canis	Extant	10.3	4.9
Canis	Extant	4.9	0.3
Canis	Extant	4.9	0.3
Canis	Extant	4.9	0.3
Canis	Extant	4.9	1.8
Canis	Extant	4.9	1.8
Canis	Extant	4.9	1.8
