"Age"	"Temperature"
0.446	-2.66227491576998
0.448	-2.65561893455525
0.45	-2.74880267156138
0.452	-2.8419864085675
0.454	-2.93517014557362
0.456	-3.08160173229753
0.458	-2.80604411000799
0.46	-2.5318176839614
0.462	-2.25626006167187
0.464	-2.86861033342639
0.466	-2.79539454006444
0.468	-2.6183454397528
0.47	-2.44262753568412
0.472	-2.48256342297245
0.474	-2.28288398653076
0.476	-2.20966819316881
0.478	-2.13512120356391
0.48	-2.06190541020196
0.482	-1.98868961684
0.484	-1.91414262723511
0.486	-2.06989258765962
0.488	-1.55738203412595
0.49	-1.6572217523468
0.492	-1.75706147056764
0.494	-1.78368539542653
0.496	-1.81696530150015
0.498	-2.61568304726692
0.5	-2.2482728842142
0.502	-2.13645239980686
0.504	-2.16307632466575
0.506	-2.45593949811356
0.508	-2.19369383825347
0.51	-2.18304426830992
0.512	-2.21632417438353
0.514	-2.17638828709519
0.516	-2.16307632466575
0.518	-2.05924301771607
0.52	-2.17638828709519
0.522	-2.09651651251852
0.524	-2.32681346254793
0.526	-2.24028570675654
0.528	-2.48522581545834
0.53	-2.64097577588286
0.532	-2.84597999729633
0.534	-3.07095216235397
0.536	-2.95913167794662
0.538	-2.9910803877773
0.54	-2.93517014557362
0.542	-2.89124066955645
0.544	-2.73948429786076
0.546	-2.69555482184359
0.548	-2.46925146054301
0.55	-2.4599330868424
0.552	-2.60237108483747
0.554	-2.09651651251852
0.556	-2.21632417438353
0.558	-2.42931557325467
0.56	-1.43091839104621
0.562	-2.43597155446939
0.564	-1.99667679429767
0.566	-2.45593949811356
0.568	-2.02063832667067
0.57	-1.43091839104621
0.572	-1.65988414483269
0.574	-1.55072605291123
0.576	-1.46419829711983
0.578	-1.42692480231738
0.58	-1.21792699217507
0.582	-1.8782003286756
0.584	-2.45593949811356
0.586	-2.49321299291601
0.588	-2.55577921633441
0.59	-2.57974074870741
0.592	-3.02835388257974
0.594	-2.46925146054301
0.596	-2.28288398653076
0.598	-2.18038187582403
0.6	-2.29486475271726
0.602	-2.25093527670009
0.604	-2.09651651251852
0.606	-2.21898656686942
0.608	-2.01664473794184
0.61	-1.85024520757376
0.612	-1.98336483186823
0.614	-1.78501659166948
0.616	-1.57601878152718
0.618	-1.56803160406951
0.62	-1.72644395697992
0.622	-2.0752173726314
0.624	-2.86195435221167
0.626	-2.22564254808414
0.628	-3.48096060518091
0.63	-3.66466568670727
0.632	-3.65135372427782
0.634	-3.69128961156616
0.636	-3.55151400605697
0.638	-3.54352682859931
0.64	-3.42771275546313
0.642	-3.36248413955884
0.644	-3.36780892453062
0.646	-3.27329399128155
0.648	-3.17212307681776
0.65	-3.14150556323004
0.652	-3.20939657162021
0.654	-3.0509842187098
0.656	-3.09757608721286
0.658	-3.02169790136502
0.66	-2.97776842534785
0.662	-2.98708679904846
0.664	-3.00172995772085
0.666	-2.83133683862394
0.668	-3.14816154444476
0.67	-2.98309321031963
0.672	-2.82734324989511
0.674	-2.96179407043251
0.676	-2.83266803486689
0.678	-2.33613183624855
0.68	-2.70886678427304
0.682	-2.64630056085464
0.684	-2.74880267156138
0.686	-2.49454418915896
0.688	-1.91014903850627
0.69	-2.07122378390257
0.692	-2.2362921180277
0.694	-1.94342894457989
0.696	-1.95407851452344
0.698	-1.90615544977744
0.7	-1.72111917200814
0.702	-1.7171255832793
0.704	-1.84092683387315
0.706	-1.6305978274879
0.708	-1.77170462924003
0.71	-2.04459985904368
0.712	-2.08986053130379
0.714	-2.1258028298633
0.716	-2.01664473794184
0.718	-2.64630056085464
0.72	-2.51184974031723
0.722	-2.69821721432948
0.724	-2.87526631464111
0.726	-2.85130478226811
0.728	-2.63032620593931
0.73	-2.46126428308534
0.732	-2.30817671514671
0.734	-2.31217030387554
0.736	-2.31749508884732
0.738	-2.36541815359333
0.74	-2.49454418915896
0.742	-2.42931557325467
0.744	-2.89523425828528
0.746	-2.84331760481044
0.748	-3.10822565715642
0.75	-2.76877061520554
0.752	-2.91520220192945
0.754	-2.67691807444237
0.756	-2.82201846492333
0.758	-2.7434778865896
0.76	-2.70886678427304
0.762	-2.55577921633441
0.764	-2.59571510362275
0.766	-2.56509759003502
0.768	-2.27489680907309
0.77	-2.27622800531604
0.772	-2.34811260243505
0.774	-2.0871981388179
0.776	-1.98469602811117
0.778	-1.94342894457989
0.78	-1.52676452053822
0.782	-1.70115122836397
0.784	-1.79699735785598
0.786	-1.53741409048178
0.788	-1.30977953293825
0.79	-1.78634778791242
0.792	-1.96073449573817
0.794	-2.46392667557123
0.796	-2.96845005164724
0.798	-3.3611529433159
0.8	-3.22803331902144
0.802	-3.01104833142146
0.804	-3.05497780743864
0.806	-2.95780048170368
0.808	-2.67824927068531
0.81	-2.44262753568412
0.812	-2.69023003687181
0.814	-2.40002925590989
0.816	-2.29353355647432
0.818	-2.04326866280073
0.82	-1.97404645816761
0.822	-1.95674090700933
0.824	-1.67985208847685
0.826	-2.10982847494796
0.828	-2.08586694257496
0.83	-2.26291604288659
0.832	-2.04992464401545
0.834	-1.93411057087927
0.836	-1.96872167319583
0.838	-2.00333277551239
0.84	-2.51584332904607
0.842	-1.95008492579461
0.844	-1.8542387963026
0.846	-1.64390978991735
0.848	-1.53741409048178
0.85	-1.70381362084986
0.852	-1.34439063525481
0.854	-1.64124739743146
0.856	-1.91680501972099
0.858	-1.76637984426825
0.86	-1.67585849974802
0.862	-1.58666835147073
0.864	-1.50679657689405
0.866	-2.07255498014551
0.868	-3.06828976986808
0.87	-3.0150419201503
0.872	-3.2480012626656
0.874	-2.97510603286196
0.876	-3.20540298289138
0.878	-3.14816154444476
