Age	Temperature	Humans
0.154	-3.22137733780671	0
0.156	-3.06429618113925	0
0.158	-2.8419864085675	0
0.16	-2.93517014557362	0
0.162	-2.87260392215522	0
0.164	-2.86861033342639	0
0.166	-2.79805693255033	0
0.168	-2.72617233543132	0
0.17	-2.68224285941415	0
0.172	-2.76211463399082	0
0.174	-2.80205052127916	0
0.176	-2.93517014557362	0
0.178	-2.73549070913193	0
0.18	-2.83533042735278	0
0.182	-2.89523425828528	0
0.184	-2.90455263198589	0
0.186	-2.91520220192945	0
0.188	-2.68224285941415	0
0.19	-2.1138220636768	0
0.192	-2.2362921180277	0
0.194	-1.87686913243266	0
0.196	-1.87953152491855	0
0.198	-1.72644395697992	0
0.2	-1.65189696737502	0
0.202	-1.57734997777012	0
0.204	-1.79034137664126	0
0.206	-1.77037343299709	0
0.208	-1.75040548935292	0
0.21	-1.69715763963513	0
0.212	-1.72378156449403	0
0.214	-1.75040548935292	0
0.216	-1.67319610726213	0
0.218	-1.5946555289284	0
0.22	-1.55471964164006	0
0.222	-1.68917046217747	0
0.224	-1.82362128271487	0
0.226	-2.52915529147551	0
0.228	-2.67824927068531	0
0.23	-2.69954841057243	0
0.232	-2.72217874670248	0
0.234	-2.35609977989272	0
0.236	-2.62899500969636	0
0.238	-2.23895451051359	0
0.24	-1.93677296336516	0
0.242	-2.21632417438353	0
0.244	-1.3470530277407	0
0.246	-2.22031776311237	0
0.248	-2.73549070913193	0
0.25	-2.54912323511968	0
0.252	-3.07494575108281	0
0.254	-3.09491369472697	0
0.256	-2.99773636899202	0
0.258	-2.96845005164724	0
0.26	-2.79805693255033	0
0.262	-2.80604411000799	0
0.264	-2.87925990336995	0
0.266	-2.86195435221167	0
0.268	-2.93517014557362	0
0.27	-3.02835388257974	0
0.272	-3.02835388257974	0
0.274	-2.88458468834173	0
0.276	-2.94848210800307	0
0.278	-2.85529837099694	0
0.28	-2.71552276548776	0
0.282	-2.57574715997858	0
0.284	-2.43597155446939	0
0.286	-2.32015748133321	0
0.288	-2.20301221195409	0
0.29	-2.30950791138965	0
0.292	-1.72378156449403	0
0.294	-2.46925146054301	0
0.296	-2.69555482184359	0
0.298	-2.85529837099694	0
0.3	-2.46925146054301	0
0.302	-2.77542659642027	0
0.304	-2.60237108483747	0
0.306	-2.4093476296105	0
0.308	-2.3467814061921	0
0.31	-2.28288398653076	0
0.312	-2.06989258765962	0
0.314	-2.70886678427304	0
0.316	-2.20301221195409	0
0.318	-1.69715763963513	0
0.32	-1.90349305729155	0
0.322	-1.73043754570875	0
0.324	-1.96339688822406	0
0.326	-1.20461502974563	0
0.328	-1.24455091703397	0
0.33	-1.27117484189286	0
0.332	-1.08480736788061	0
0.334	-0.7919441944328	0
0.336	-1.07548899418	0
0.338	-2.04326866280073	0
0.34	-2.373405331051	0
0.342	-2.7048731955442	0
0.344	-3.03500986379447	0
0.346	-3.40108883060423	0
0.348	-2.36275576110744	0
0.35	-3.14816154444476	0
0.352	-2.81536248370861	0
0.354	-2.96179407043251	0
0.356	-2.8419864085675	0
0.358	-3.0150419201503	0
0.36	-2.99507397650613	0
0.362	-2.97510603286196	0
0.364	-3.00172995772085	0
0.366	-3.02835388257974	0
0.368	-2.90189023950001	0
0.37	-2.69555482184359	0
0.372	-2.74880267156138	0
0.374	-2.78873855884971	0
0.376	-2.73549070913193	0
0.378	-2.52649289898963	0
0.38	-2.42931557325467	0
0.382	-2.70886678427304	0
0.384	-2.39869805966694	0
0.386	-2.60237108483747	0
0.388	-2.36275576110744	0
0.39	-2.18570666079581	0
0.392	-2.22963613681298	0
0.394	-2.19635623073936	0
0.396	-1.91014903850627	0
0.398	-2.13645239980686	0
0.4	-1.98070243938234	0
0.402	-1.45754231590511	0
0.404	-1.06483942423644	0
0.406	-1.66387773356152	0
0.408	-1.27117484189286	0
0.41	-1.00759798578983	0
0.412	-1.37367695259959	0
0.414	-1.54673246418239	0
0.416	-2.37606772353688	0
0.418	-2.49321299291601	0
