			Lutraeximia	Parapotos	
			Lutrogale	Arctomeles	
			Magerictis	Mellivora	
			Marcetia	Lutra	
			Martes	Eucyon	
			Matanomictis	Paralutra	
			Megalenhydris	Meles	
			Meles	Theriodictis	
			Melidellavus	Viverra	
			Mellivora	Lynx	
			Melodon	Arctictis	
			Melogale	Goupilictis	
			Mionictis	Lutrogale	
			Mustela	Cynotherium	
			Nannomephitis		
			Oligobunis		
			Paludolutra		
			Pannonictis		
			Paragale		
			Parailurus		
			Paralutra		
			Paramartes		
			Parameles		
			Parataxidea		
			Perunium		
			Plesictis		
			Plesiogale		
			Plesiogulo		
			Polgardia		
			Potamotherium		
			Promeles		
			Promephitis		
			Proputorius		
			Protarctos		
			Protursus		
			Putorius		
			Rhodanictis		
			Sabadellictis		
			Sardolutra		
			Semantor		
			Siamogale		
			Simocyon		
			Sinictis		
			Sivaonyx		
			Sthenictis		
			Stromeriella		
			Taxodon		
			Teruelictis		
			Trocharion		
			Trochictis		
			Trochotherium		
			Tyrrhenolutra		
			Vishnuonyx		
			Vormela		
			Xenictis		
