scientificName	earliestAge	latestAge	higherGeography	site
Epicyon	12.11	10.09	NAmerica	now_10405
Leptocyon	12.11	10.09	NAmerica	now_10405
Tomarctus	12.11	10.09	NAmerica	now_10406
Aelurodon	12.11	10.09	NAmerica	now_10406
Epicyon	12.11	10.09	NAmerica	now_10406
Hesperocyon	35.24	34.7	NAmerica	now_10413
Hesperocyon	34.7	33.9	NAmerica	now_10415
Hesperocyon	33.9	32.1	NAmerica	now_10416
Leptocyon	33.9	32.1	NAmerica	now_10416
Hesperocyon	32.1	29.75	NAmerica	now_10417
Archaeocyon	32.1	29.75	NAmerica	now_10417
Mesocyon	32.1	29.75	NAmerica	now_10417
Osbornodon	32.1	29.75	NAmerica	now_10417
Archaeocyon	32.1	29.75	NAmerica	now_10417
Sunkahetanka	29.75	28	NAmerica	now_10418
Enhydrocyon	29.75	28	NAmerica	now_10418
Archaeocyon	29.75	22.2	NAmerica	now_10419
Eucyon	7.6	7.1	Eurasia	now_21412
Cuon	0.712	0.676	Eurasia	now_24085
Nyctereutes	2.5	1.9	Eurasia	now_20711
Vulpes	2.5	1.9	Eurasia	now_20711
Canis	2.5	1.9	Eurasia	now_20711
Canis	1.072	0.988	Eurasia	now_24456
Canis	1.072	0.988	Eurasia	now_24456
Cynotherium	1.9	0.0117	Eurasia	now_28051
Nyctereutes	2.5	1.9	Eurasia	now_27478
Vulpes	2.581	1.981	Eurasia	now_24452
Canis	2.581	1.981	Eurasia	now_24452
Vulpes	0.781	0.676	Eurasia	now_24261
Canis	0.781	0.676	Eurasia	now_24261
Nyctereutes	2.581	2.263	Eurasia	now_21029
Vulpes	2.581	2.263	Eurasia	now_21029
Vulpes	1.8	1.8	Eurasia	now_21050
Canis	1.8	1.8	Eurasia	now_21050
Canis	1.9	0.781	Eurasia	now_27811
Cuon	1.9	0.781	Eurasia	now_27811
Canis	0.653775	0.0117	Eurasia	now_24142
Nyctereutes	3.275	2.725	Eurasia	now_20604
Borophagus	5.91	4.91	NAmerica	now_10518
Nyctereutes	3.55	2.5	Eurasia	now_20390
Vulpes	1.9	0.0117	Eurasia	now_23502
Nyctereutes	3.55	2.5	Eurasia	now_20707
Canis	3.55	2.5	Eurasia	now_20707
Eucyon	5	5	Eurasia	now_27261
Canis	3.55	1.9	Eurasia	now_24425
Vulpes	1.9	1.6666666666667	Eurasia	now_20487
Canis	1.9	1.6666666666667	Eurasia	now_20487
Canis	1.9	1.6666666666667	Eurasia	now_20487
Canis	0.458	0.366	Eurasia	now_24460
Eucyon	5	3.55	Eurasia	now_24631
Nyctereutes	5	3.55	Eurasia	now_24631
Nyctereutes	5.3	3.55	Eurasia	now_20636
