scientificName	earliestAge	latestAge	higherGeography
Agnotherium	16.9	15.97	Eurasia
Agnotherium	15.97	13.82	Eurasia
Agriotherium	13.82	11.62	NAmerica
Agriotherium	8.7	5.333	Eurasia
Agriotherium	5.333	3.2	Eurasia
Agriotherium	4.2	3.2	Eurasia
Agriotherium	4.2	2.588	Eurasia
Agriotherium	4.9	1.8	NAmerica
Agriotherium	5.333	3.6	Eurasia
Agriotherium	3.6	2.588	Eurasia
Agriotherium	4.9	1.8	NAmerica
Ailuropoda	0.781	0.0117	Eurasia
Ailuropoda	2.588	0.0117	Eurasia
Ailuropoda	0.126	0.0117	Eurasia
Ailuropoda	2.588	0.781	Eurasia
Ailuropoda	0.781	0.0117	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	2.588	0.781	Eurasia
Ailuropoda	3.6	2.588	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	0.126	0.0117	Eurasia
Ailuropoda	0.126	0.0117	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	0.781	0.126	Eurasia
Ailuropoda	2.588	0.0117	Eurasia
Alagtsavbaatar	37.2	33.9	Eurasia
Alagtsavbaatar	37.2	33.9	Eurasia
Algarolutra	2.588	0.0117	Eurasia
Algarolutra	2.588	0.0117	Eurasia
Algarolutra	0.781	0.0117	Eurasia
Allocyon	33.3	30.8	NAmerica
Allohyaena	8.7	7.75	Eurasia
Allohyaena	8.7	7.75	Eurasia
Alopecocyon	15.97	11.62	Eurasia
Alopecocyon	15.97	11.62	Eurasia
Alopecocyon	13.65	12.75	Eurasia
Alopecocyon	13.6	10.3	NAmerica
Alopecocyon	11.1	9.7	Eurasia
Alopecocyon	16.9	15.97	Eurasia
Alopex	1.8	0.3	NAmerica
Alopex	0.126	0.0117	NAmerica
Alopex	0.126	0.0117	NAmerica
Alopex	0.126	0.0117	Eurasia
Alopex	0.126	0.0117	NAmerica
Alopex	0.0117	0	NAmerica
Alopex	0.126	0.0117	Eurasia
Alopex	0.0117	0	Eurasia
Alopex	0.0117	0	Eurasia
Alopex	0.0117	0	Eurasia
Alopex	0.0117	0	NAmerica
Alopex	0.0117	0	NAmerica
Amphictis	15.97	13.65	Eurasia
Amphictis	23.03	22.4	Eurasia
Amphictis	23.03	22.4	Eurasia
Amphictis	23.03	22.4	Eurasia
Amphictis	22.4	20	Eurasia
Amphictis	22.4	20	Eurasia
Amphictis	22.4	20	Eurasia
Amphictis	20.44	15.97	Eurasia
Amphictis	20.43	15.97	NAmerica
Amphicyon	15.97	11.608	Eurasia
Amphicyon	15.97	13.6	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.6	NAmerica
Amphicyon	15.97	13.65	Eurasia
Amphicyon	15.97	11.62	Eurasia
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	20.44	15.97	Eurasia
Amphicyon	13.65	12.75	Eurasia
Amphicyon	20.44	15.97	Eurasia
Amphicyon	11.608	8.7	Eurasia
Amphicyon	11.608	8.7	Eurasia
Amphicyon	15.97	11.608	Eurasia
Amphicyon	20.44	15.97	Eurasia
Amphicyon	11.62	7.246	Eurasia
Amphicyon	20.44	15.97	Eurasia
Amphicyon	15.97	11.608	Eurasia
Amphicyon	13.65	11.1	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	13.65	12.75	Eurasia
Amphicyon	13.65	12.75	Eurasia
Amphicyon	13.65	11.1	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	13.65	12.75	Eurasia
Amphicyon	15.97	13.82	Eurasia
Amphicyon	13.82	11.62	Eurasia
Amphicyon	20.44	15.97	NAmerica
Amphicyon	15.97	13.65	Eurasia
Amphicyon	5.333	2.588	Eurasia
Amphicyon	20	16.9	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	16.9	15.97	Eurasia
Amphicyon	20	15.97	Eurasia
Amphicyon	15.97	11.608	Eurasia
Amphicyon	20.44	15.97	Eurasia
Amphicyon	15.97	13.82	Eurasia
Amphicyon	15.97	13.6	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphicyon	16.9	15.97	Eurasia
Amphicyon	15.97	13.82	NAmerica
Amphicyon	20	15.97	Eurasia
Amphicyon	15.97	11.62	Eurasia
Amphicyon	15.97	11.608	Eurasia
Amphicyon	15.97	11.608	Eurasia
Amphicyon	15.97	12.75	Eurasia
Amphicyon	15.97	13.82	Eurasia
Amphicyon	11.62	7.246	Eurasia
Amphicyon	13.6	10.3	NAmerica
Amphicyon	20.43	15.97	NAmerica
Amphimachairodus	8.7	5.333	Eurasia
Amphimachairodus	5.333	3.6	NAmerica
Amphimachairodus	8.7	5.333	Eurasia
Angelarctocyon	40.4	37.2	NAmerica
Angelarctocyon	40.4	37.2	NAmerica
Angustictis	23.03	22.4	Eurasia
Angustictis	22.4	20	Eurasia
Aonyx	0.781	0.126	Eurasia
Aonyx	0.0117	0	Eurasia
Aonyx	0.126	0.0117	Eurasia
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	33.3	30.8	NAmerica
Archaeocyon	30.8	26.3	NAmerica
Archaeocyon	30.8	26.3	NAmerica
Arctodus	4.9	0.3	NAmerica
Arctodus	4.9	1.8	NAmerica
Arctodus	4.9	1.8	NAmerica
Arctodus	2.588	1.806	NAmerica
Arctodus	4.9	1.8	NAmerica
Arctodus	4.9	1.8	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
