scientificName	BodyMass
Osbornodon	20.8077896073848
Osmotherium	2.31855323765654
Pachycrocuta	31.9448760378515
Paguma	4.3
Palaeogale	1.63884299678408
Palinhyaena	20.45
Paludolutra	16.4942548681667
Pannonictis	2.96819948068232
Panthera	100
Parabrachypsalis	5.94168740676805
Paracynarctus	5.24679691532621
Paradaphoenus	3.39376134271372
Paradoxurus	2.781
Paraenhydrocyon	16.6540121360658
Paragale	1.86169727669552
Parahyaena	28.5129565785011
Parailurus	15.4459281138919
Paralutra	3.9787209556012
Paramachaerodus	65.9000473378773
Paramartes	1.49464391397611
Parameles	0.430158263534699
Paranasua	3.32773475321195
Paraoligobunus	1.24622755871237
Parapotos	1.0854911262697
Parataxidea	8.03794516749526
Paratomarctus	16.728058769867
Parenhydrocyon	17.6815479519152
Pekania	4.05
