Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica	Humans	Temperature
0	0	0	0	0	1	0	0	-1.24782649021637	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-1.50747510640779	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.393217645715749	0	1	0	-0.880812065181478
0	1	0	0	0	0	0	0	0.27578703165035	1	1	0	-0.243637805740891
0	0	1	0	0	0	0	0	0.0671504314156345	1	0	0	0.0432849034715178
0	1	0	0	0	0	0	0	0.564611939904271	0	1	0	-0.880812065181478
0	0	0	0	0	0	1	0	0.763014995150291	1	1	0	-0.243637805740891
0	1	0	0	0	0	0	0	-0.461575043137614	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.24747199357013	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-2.03302566050855	0	1	0	-0.880812065181478
0	0	0	0	1	0	0	0	0.981843837708767	1	1	0	-0.243637805740891
0	1	0	0	0	0	0	0	0.648978022704727	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.14116865750464	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-1.23196965810391	0	1	0	-0.880812065181478
0	1	0	0	0	0	0	0	-0.735816502506987	0	1	0	-0.880812065181478
1	0	0	0	0	0	0	0	2.38340315482476	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.919384960495601	0	1	0	-0.880812065181478
0	0	0	0	1	0	0	0	1.27227684776976	1	1	0	-0.243637805740891
0	0	0	1	0	0	0	0	0.328671348561292	0	1	0	-0.880812065181478
0	1	0	0	0	0	0	0	0.0941503727600884	1	1	0	-0.243637805740891
0	1	0	0	0	0	0	0	-1.29233091614282	0	1	0	-0.880812065181478
0	1	0	0	0	0	0	0	-0.307815793584081	0	1	0	-0.880812065181478
1	0	0	0	0	0	0	0	1.02388261168886	1	1	0	-0.243637805740891
0	0	0	0	0	0	0	1	-0.53287244720178	1	0	0	0.0432849034715178
0	1	0	0	0	0	0	0	-0.0493262310365786	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.873022328401985	1	0	0	0.0432849034715178
1	0	0	0	0	0	0	0	1.00058092726933	0	1	0	-0.880812065181478
