Genus	Status	Min_Age	Max_Age
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0.0028	0.0034
Larus	Extant	0.0028	0.0034
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Larus	Extant	0	0.0117
Morus	Extant	20.44	23.03
Morus	Extant	15.97	20.43
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.82	15.97
Morus	Extant	13.6	15.97
Morus	Extant	11.62	13.82
Morus	Extant	11.62	13.82
Morus	Extant	11.62	13.82
Morus	Extant	7.3	7.6
Morus	Extant	7.246	11.62
Morus	Extant	7.246	11.62
Morus	Extant	5.333	11.608
Morus	Extant	3.6	7.246
Morus	Extant	3.6	7.246
Morus	Extant	5.333	7.246
Morus	Extant	5.333	7.246
Morus	Extant	3.9	4.9
Morus	Extant	3.9	4.9
Morus	Extant	3.9	4.9
Morus	Extant	3.9	4.9
Morus	Extant	3.9	4.9
Morus	Extant	3.9	4.9
Morus	Extant	1.8	4.9
Morus	Extant	1.8	4.9
Morus	Extant	1.8	4.9
Morus	Extant	1.8	4.9
Morus	Extant	2.588	3.6
Morus	Extant	2.588	3.6
Morus	Extant	2.588	3.6
Morus	Extant	0.0117	2.588
Morus	Extant	0.0117	2.588
Morus	Extant	0.0117	2.588
Morus	Extant	0.0117	2.588
Morus	Extant	0.012	0.3
Morus	Extant	0.0117	0.126
Morus	Extant	0	0.0117
Morus	Extant	0	0.0117
Morus	Extant	0	0.0117
Morus	Extant	0	0.0117
Oceanites	Extant	3.6	5.333
Oceanites	Extant	3.6	5.333
Oceanites	Extant	3.6	5.333
Oceanites	Extant	3.6	5.333
Oceanites	Extant	0	0.0117
Oceanodroma	Extant	5.333	11.608
Oceanodroma	Extant	3.6	7.246
Oceanodroma	Extant	1.8	4.9
Oceanodroma	Extant	0.0117	2.588
