age	sealevel
0.566	-90.1818181818182
0.568	-66.4
0.57	-34.1818181818182
0.572	-46.6909090909091
0.574	-40.7272727272727
0.576	-36
0.578	-33.9636363636364
0.58	-22.5454545454545
0.582	-58.6181818181818
0.584	-90.1818181818182
0.586	-92.2181818181818
0.588	-95.6363636363637
0.59	-96.9454545454546
0.592	-121.454545454545
0.594	-90.9090909090909
0.596	-80.7272727272728
0.598	-75.1272727272728
0.6	-81.3818181818182
0.602	-78.9818181818182
0.604	-70.5454545454545
0.606	-77.2363636363637
0.608	-66.1818181818182
0.61	-57.0909090909091
0.612	-64.3636363636363
0.614	-53.5272727272727
0.616	-42.1090909090909
0.618	-41.6727272727273
0.62	-50.3272727272727
0.622	-69.3818181818182
0.624	-112.363636363636
0.626	-77.6
0.628	-146.181818181818
0.63	-156.218181818182
0.632	-155.490909090909
0.634	-157.672727272727
0.636	-150.036363636364
0.638	-149.6
0.64	-143.272727272727
0.642	-139.709090909091
0.644	-140
0.646	-134.836363636364
0.648	-129.309090909091
0.65	-127.636363636364
0.652	-131.345454545455
0.654	-122.690909090909
0.656	-125.236363636364
0.658	-121.090909090909
0.66	-118.690909090909
0.662	-119.2
0.664	-120
0.666	-110.690909090909
0.668	-128
0.67	-118.981818181818
0.672	-110.472727272727
0.674	-117.818181818182
0.676	-110.763636363636
0.678	-83.6363636363637
0.68	-104
0.682	-100.581818181818
0.684	-106.181818181818
0.686	-92.2909090909091
0.688	-60.3636363636364
0.69	-69.1636363636363
0.692	-78.1818181818182
0.694	-62.1818181818182
0.696	-62.7636363636364
0.698	-60.1454545454545
0.7	-50.0363636363636
0.702	-49.8181818181818
0.704	-56.5818181818182
0.706	-45.0909090909091
0.708	-52.8
0.71	-67.7090909090909
0.712	-70.1818181818182
0.714	-72.1454545454545
0.716	-66.1818181818182
0.718	-100.581818181818
0.72	-93.2363636363636
0.722	-103.418181818182
0.724	-113.090909090909
0.726	-111.781818181818
0.728	-99.7090909090909
0.73	-90.4727272727273
0.732	-82.1090909090909
0.734	-82.3272727272727
0.736	-82.6181818181818
0.738	-85.2363636363636
0.74	-92.2909090909091
0.742	-88.7272727272727
0.744	-114.181818181818
0.746	-111.345454545455
0.748	-125.818181818182
0.75	-107.272727272727
0.752	-115.272727272727
0.754	-102.254545454545
0.756	-110.181818181818
0.758	-105.890909090909
0.76	-104
0.762	-95.6363636363637
0.764	-97.8181818181818
0.766	-96.1454545454546
0.768	-80.2909090909091
0.77	-80.3636363636364
0.772	-84.2909090909091
0.774	-70.0363636363636
0.776	-64.4363636363637
0.778	-62.1818181818182
0.78	-39.4181818181818
0.782	-48.9454545454546
0.784	-54.1818181818182
0.786	-40
0.788	-27.5636363636364
0.79	-53.6
0.792	-63.1272727272728
0.794	-90.6181818181819
0.796	-118.181818181818
0.798	-139.636363636364
0.8	-132.363636363636
0.802	-120.509090909091
0.804	-122.909090909091
0.806	-117.6
0.808	-102.327272727273
0.81	-89.4545454545455
0.812	-102.981818181818
0.814	-87.1272727272728
0.816	-81.3090909090909
0.818	-67.6363636363636
0.82	-63.8545454545455
0.822	-62.9090909090909
0.824	-47.7818181818182
0.826	-71.2727272727273
0.828	-69.9636363636364
0.83	-79.6363636363636
0.832	-68
0.834	-61.6727272727273
0.836	-63.5636363636363
0.838	-65.4545454545455
0.84	-93.4545454545455
0.842	-62.5454545454546
0.844	-57.3090909090909
0.846	-45.8181818181818
0.848	-40
0.85	-49.0909090909091
0.852	-29.4545454545454
0.854	-45.6727272727273
0.856	-60.7272727272727
0.858	-52.5090909090909
0.86	-47.5636363636364
0.862	-42.6909090909091
0.864	-38.3272727272727
0.866	-69.2363636363636
0.868	-123.636363636364
0.87	-120.727272727273
0.872	-133.454545454545
0.874	-118.545454545455
0.876	-131.127272727273
0.878	-128
0.88	-110.981818181818
0.882	-113.527272727273
0.884	-116.145454545455
0.886	-115.854545454545
0.888	-115.636363636364
0.89	-125.090909090909
0.892	-113.818181818182
0.894	-115.490909090909
