time	diversity	m_div	M_div
8.447106372883594	1.0	1	1
8.547667163036971	1.0	1	1
8.648227953190347	1.0	1	1
8.748788743343724	1.0	1	1
8.849349533497099	1.0	1	1
8.949910323650476	1.0	1	1
9.050471113803852	1.0	1	1
9.151031903957227	1.0	1	1
9.251592694110604	1.0	1	1
9.35215348426398	1.0	1	1
9.452714274417357	1.0	1	1
9.553275064570732	1.0	1	1
9.653835854724107	1.0	1	1
9.754396644877485	1.0	1	1
9.85495743503086	1.0	1	1
9.955518225184237	1.0	1	1
10.056079015337613	1.0	1	1
10.15663980549099	1.0	1	1
10.257200595644365	1.0	1	1
10.35776138579774	1.0	1	1
10.458322175951118	1.0	1	1
10.558882966104493	1.0	1	1
10.65944375625787	1.0	1	1
10.760004546411245	1.0	1	1
10.860565336564623	1.0	1	1
10.961126126717998	1.0	1	1
11.061686916871373	1.0	1	1
11.16224770702475	1.0	1	1
11.262808497178126	1.0	1	1
11.363369287331503	1.0	1	1
11.463930077484878	1.0	1	1
11.564490867638256	1.0	1	1
11.665051657791631	1.0	1	1
11.765612447945006	1.0	1	1
11.866173238098384	1.0	1	1
11.966734028251759	1.0	1	1
12.067294818405136	1.0	1	1
12.167855608558511	1.0	1	1
12.268416398711887	1.0	1	1
12.368977188865264	1.0	1	1
12.46953797901864	1.0	1	1
12.570098769172017	1.0	1	1
12.670659559325392	1.0	1	1
12.771220349478769	1.0	1	1
12.871781139632144	1.0	1	1
12.97234192978552	1.0	1	1
13.072902719938897	1.0	1	1
13.173463510092272	1.0	1	1
13.27402430024565	1.0	1	1
13.374585090399025	1.0	1	1
13.475145880552402	1.0	1	1
13.575706670705777	1.0	1	1
13.676267460859153	1.0	1	1
13.77682825101253	1.0	1	1
13.877389041165905	1.0	1	1
13.977949831319282	1.0	1	1
14.078510621472658	1.0	1	1
14.179071411626033	1.0	1	1
14.27963220177941	1.0	1	1
14.380192991932786	1.0	1	1
14.480753782086163	1.0	1	1
14.581314572239538	1.0	1	1
14.681875362392915	1.0	1	1
14.78243615254629	1.0	1	1
14.882996942699666	1.0	1	1
14.983557732853043	1.0	1	1
15.084118523006419	1.0	1	1
15.184679313159796	1.0	1	1
15.285240103313171	1.0	1	1
15.385800893466548	1.0	1	1
15.486361683619924	1.0	1	1
15.5869224737733	1.0	1	1
15.687483263926676	1.0	1	1
15.788044054080052	1.0	1	1
15.888604844233429	1.0	1	1
15.989165634386804	1.0	1	1
16.08972642454018	1.0	1	1
16.190287214693555	1.0	1	1
16.290848004846932	1.0	1	1
16.39140879500031	1.0	1	1
16.491969585153686	1.0	1	1
16.59253037530706	1.0	1	1
16.693091165460437	1.0	1	1
16.793651955613814	1.0	1	1
16.894212745767188	1.0	1	1
16.994773535920565	1.0	1	1
17.095334326073942	1.0	1	1
17.19589511622732	1.0	1	1
17.296455906380693	1.0	1	1
17.39701669653407	1.0	1	1
17.497577486687447	1.0	1	1
17.59813827684082	1.0	1	1
17.698699066994198	1.0	1	1
17.799259857147575	1.0	1	1
17.899820647300952	1.0	1	1
18.000381437454326	1.0	1	1
18.100942227607703	1.0	1	1
18.20150301776108	1.0	1	1
18.302063807914454	1.0	1	1
18.40262459806783	1.0	1	1
18.50318538822121	1.0	1	1
18.603746178374585	1.0	1	1
18.70430696852796	1.0	1	1
18.804867758681336	1.0	1	1
18.905428548834713	1.0	1	1
19.005989338988087	1.0	1	1
19.106550129141464	1.0	1	1
19.20711091929484	1.0	1	1
19.307671709448215	1.0	1	1
19.408232499601592	1.0	1	1
19.50879328975497	1.0	1	1
19.609354079908346	1.0	1	1
19.70991487006172	1.0	1	1
19.810475660215097	1.0	1	1
19.911036450368474	1.0	1	1
20.011597240521848	1.0	1	1
20.112158030675225	1.0	1	1
20.212718820828602	1.0	1	1
20.31327961098198	1.0	1	1
20.413840401135353	1.0	1	1
20.51440119128873	1.0	1	1
20.614961981442107	1.0	1	1
20.71552277159548	1.0	1	1
20.816083561748858	1.0	1	1
20.916644351902235	1.0	1	1
21.017205142055612	1.0	1	1
21.117765932208986	1.0	1	1
21.218326722362363	1.0	1	1
21.31888751251574	1.0	1	1
21.419448302669114	1.0	1	1
21.52000909282249	1.0	1	1
21.620569882975868	1.0	1	1
21.721130673129245	1.0	1	1
21.82169146328262	1.0	1	1
21.922252253435996	1.0	1	1
22.022813043589373	1.0	1	1
22.123373833742747	1.0	1	1
22.223934623896124	1.0	1	1
22.3244954140495	0.0	0	0
22.42505620420288	0.0	0	0
22.525616994356252	0.0	0	0
22.62617778450963	0.0	0	0
22.726738574663006	0.0	0	0
22.82729936481638	0.0	0	0
22.927860154969757	0.0	0	0
23.028420945123134	0.0	0	0
23.12898173527651	0.0	0	0
23.229542525429885	0.0	0	0
23.330103315583262	0.0	0	0
23.43066410573664	0.0	0	0
23.531224895890013	0.0	0	0
23.63178568604339	0.0	0	0
23.732346476196767	0.0	0	0
23.83290726635014	0.0	0	0
23.933468056503518	0.0	0	0
24.034028846656895	0.0	0	0
24.134589636810272	0.0	0	0
24.235150426963646	0.0	0	0
24.335711217117023	0.0	0	0
24.4362720072704	0.0	0	0
24.536832797423774	0.0	0	0
24.63739358757715	0.0	0	0
24.737954377730528	0.0	0	0
24.838515167883905	0.0	0	0
24.93907595803728	0.0	0	0
25.039636748190656	0.0	0	0
25.140197538344033	0.0	0	0
25.240758328497407	0.0	0	0
25.341319118650784	0.0	0	0
25.44187990880416	0.0	0	0
25.542440698957538	0.0	0	0
25.64300148911091	0.0	0	0
25.74356227926429	0.0	0	0
25.844123069417666	0.0	0	0
25.94468385957104	0.0	0	0
26.045244649724417	0.0	0	0
26.145805439877794	0.0	0	0
26.24636623003117	0.0	0	0
26.346927020184545	0.0	0	0
26.447487810337922	0.0	0	0
26.5480486004913	0.0	0	0
26.648609390644673	0.0	0	0
26.74917018079805	0.0	0	0
26.849730970951427	0.0	0	0
26.950291761104804	0.0	0	0
27.050852551258178	0.0	0	0
27.151413341411555	0.0	0	0
27.251974131564932	0.0	0	0
27.352534921718306	0.0	0	0
27.453095711871683	0.0	0	0
27.55365650202506	0.0	0	0
27.654217292178437	0.0	0	0
27.75477808233181	0.0	0	0
27.855338872485188	0.0	0	0
27.955899662638565	0.0	0	0
28.05646045279194	1.0	1	1
