it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	
10000	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.37692419138079564	0.7643268615731414	0.7643268615731414	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	0.15061616648296514	-0.3874026701923458	-0.3874026701923458	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305	0.2263080248978305
11000	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	0.48801563016070004	1.1386797540438014	1.1386797540438014	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	0.1825518193093925	-0.6506641238831014	-0.6506641238831014	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076	0.3054638108513076
12000	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.4100668816630866	0.9821933399037122	0.9821933399037122	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	0.23553486048844052	-0.5721264582406256	-0.5721264582406256	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606	0.17453202117464606
13000	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	0.49601786610928406	1.171891853278734	1.171891853278734	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	0.16086101065949812	-0.6758739871694499	-0.6758739871694499	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859	0.3351568554497859
14000	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	0.5326748904966767	1.0082747840572726	1.0082747840572726	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	0.14777988371939535	-0.47559989356059584	-0.47559989356059584	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814	0.3848950067772814
15000	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	0.41242368732615386	1.295818875998561	1.295818875998561	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	0.18836498075078378	-0.8833951886724071	-0.8833951886724071	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008	0.22405870657537008
16000	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	0.3967100771535233	1.3315408869936256	1.3315408869936256	0.39021382614131517	0.39021382614131517	0.39021382614131517	0.39021382614131517	0.39021382614131517	0.39021382614131517	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	0.13047143710178663	-0.9348308098401024	-0.9348308098401024	0.006496251012208132	0.006496251012208132	0.006496251012208132	0.006496251012208132	0.006496251012208132	0.006496251012208132	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367	0.2662386400517367
17000	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.430822948323081	0.9499426790082196	0.9499426790082196	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	0.12852987279248337	-0.5191197306851386	-0.5191197306851386	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976	0.3022930755305976
18000	0.2797128295221472	0.2797128295221472	0.2797128295221472	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	0.4347801563277642	1.1910338993038592	1.1910338993038592	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	0.15089529800257603	-0.911321069781712	-0.911321069781712	0.12881753151957118	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817	0.28388485832518817
19000	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	0.4623149794060513	1.3045663707916044	1.3045663707916044	0.2890366878533611	0.2890366878533611	0.2890366878533611	0.2890366878533611	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	0.38303425909720684	-0.8422513913855532	-0.8422513913855532	0.1732782915526902	0.1732782915526902	0.1732782915526902	0.1732782915526902	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448	0.07928072030884448
