Species	Status	min_age	max_age
Araxathyris_indentatus	extinct	254	252.3
Araxathyris_indentatus	extinct	254	252.3
Araxathyris_jiangyouensis	extinct	254	252.3
Araxathyris_jiangyouensis	extinct	254	252.3
Araxathyris_jiangyouensis	extinct	254	252.3
Araxathyris_longa	extinct	259	254
Araxathyris_minuta	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	254	252.3
Araxathyris_protea	extinct	259	252.3
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	259	254
Araxathyris_protea	extinct	298.9	252.3
Araxathyris_quadrilobata	extinct	254	252.3
Araxathyris_quadrilobata	extinct	254	252.3
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_quadrilobata	extinct	259	254
Araxathyris_rectimarginalis	extinct	254	252.3
Araxathyris_rectimarginalis	extinct	254	252.3
Araxathyris_simplex	extinct	254	252.3
Araxathyris_simplex	extinct	259	254
Araxathyris_sinensis	extinct	254	252.3
Araxathyris_sinensis	extinct	254	252.3
Araxathyris_sinensis	extinct	254	252.3
Araxathyris_sinensis	extinct	254	252.3
Araxathyris_sinensis	extinct	254	252.3
Araxathyris_sinensis	extinct	259	252.3
Araxathyris_sinensis	extinct	259	252.3
Araxathyris_sinensis	extinct	259	254
Araxathyris_sinensis	extinct	259	254
Araxathyris_sinensis	extinct	259	254
Araxathyris_sinensis	extinct	259	254
Araxathyris_sinensis	extinct	268	265
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	254	252.3
Araxathyris_timorensis	extinct	259	254
Araxathyris_timorensis	extinct	259	254
Araxathyris_undulata	extinct	254	252.3
Araxathyris_undulata	extinct	254	252.3
Araxathyris_undulata	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Araxathyris_yuananensis	extinct	254	252.3
Athyris_angelica	extinct	370.6	364.7
Athyris_angelica	extinct	376.1	360.7
Athyris_angelicoidea	extinct	376.1	360.7
Athyris_angelicoidea	extinct	383.7	376.1
Athyris_area	extinct	376.1	370.6
Athyris_area	extinct	376.1	370.6
Athyris_balatonica	extinct	235	221.5
Athyris_bayeti	extinct	383.7	376.1
Athyris_bayeti	extinct	383.7	376.1
Athyris_bayeti	extinct	383.7	376.1
Athyris_bayeti	extinct	383.7	376.1
Athyris_bayeti	extinct	383.7	376.1
Athyris_bayeti	extinct	383.7	376.1
