it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
10000	-526.80893352778526	-16.735606796414341	-441.63025902337529	-68.443067707995624	10.161934480942957	0.50560252201850964	1	1	11.624870997735906	0.0	65.163805020303371	3.4078786921149429	3.0215869888984219	1.8895382556193598	2.629262292964754	3.3356133337845995	1.3279191796924112	1.8218110529649052	10.266676305355753	2.4468025162197491	11.624870997735906	4.8347544569272429	8.082414452588214	3.2666342202262064	5.1664599555529431	1.4697426501889603	4.3966845099530936	3.023276882939709	1.2235320244156158	0.0	0.0	1.8408674429048284	0.001725646850080146	0.0	1.1286970013765565	0.00014676641927796261	0.04579243230333746	0.0	0.89085986217819013	0.0	0.0081035146737391539	0.0	0.0	1.3970464686071447	0.0	2.7584146125262636	0.0
11000	-515.83015122810718	-16.202251343919233	-431.24943184997261	-68.378468034215302	9.7122075746987448	0.56589000371260145	1	1	10.992231213698421	0.0	64.34163340413599	3.3483419227320628	2.5650948688770576	1.9133326194886733	2.2709940353322491	3.3773126868579686	1.3275117068193603	1.8260638511906109	10.175993868687989	2.6406689784111999	10.992231213698421	4.8602751931218062	8.4947402432220578	3.1289328060423207	5.0856936947241076	1.4697426501889603	4.2642214132731402	2.9293520389019645	1.0720189268636005	0.0	0.0	1.8053436931360962	0.001725646850080146	0.0	1.2748577380309447	0.00014676641927796261	0.012404179148474415	0.0	0.037252119486977597	0.0	0.0068075256129353223	0.0	0.0	1.4194543755572218	0.0	2.8428972700555581	0.0
12000	-532.57570084781162	-15.317981076028902	-448.77169601750199	-68.486023754280723	8.8762771647077336	0.6029674882738425	1	1	10.628684977318075	0.0	64.505425480972178	3.1865811941388351	2.9235897384950813	2.0261172498961164	2.4548819825491655	3.2729694024010683	1.4254982997870431	1.8525485665632921	10.097975468085293	2.4338192796692621	10.628684977318075	5.0545062140723207	8.733655970719747	3.1799456666507733	4.8658543451470866	1.5058660051217791	4.3120308534338347	2.9274739558845555	1.2789256094167611	0.0	0.0	1.5125399764855372	0.0078631492923790531	0.0	1.1366838747753358	0.00014676641927796261	0.062790023727325395	0.0	0.85636983159135893	0.0	0.0010183699451814798	0.0	0.0	1.2005067334701836	0.0	2.8775805726713317	0.0
13000	-530.1078633392633	-15.828573055783725	-445.79009849275849	-68.489191790721065	9.427905110827437	0.50473241738049657	1	1	11.097084860681827	0.0	65.746155089838325	3.4157394602987434	3.5718215461508782	1.9771054699009039	2.4182451650011263	3.4310504736350516	1.3470772942510387	1.7683013570395687	9.8969790797740149	2.3941299311207858	11.097084860681827	4.8501351899996807	8.797903550336267	3.2052110483647818	4.8103046068710622	1.5179330740718036	4.5423670951899791	3.0502883105502407	1.139914542583861	0.0	0.0	1.7929153840887917	0.0078631492923790531	0.0	1.0557480090267803	0.0019278126112897663	0.0092018919645510677	0.0	0.68996079047042236	0.0	0.0057640893035841301	0.0	0.0	1.2115622607601475	0.0	2.7104935784653374	0.0
14000	-533.43896853562762	-15.640448188214201	-447.89707203434045	-69.901448313072933	9.0227499605637131	0.48567976539975805	1	1	11.924438160594402	0.0	65.338585389982896	3.4740982239733924	2.7914162222506835	1.8794625437600936	2.5301458110821375	3.643654965698031	1.3353940068163004	1.8662312895617728	9.8857598743299668	2.411992800536189	11.924438160594402	4.8507589989962137	8.2764797882813212	3.1242383114971632	4.868927047828449	1.5109416375927696	4.68633376879606	2.9901172967778935	1.037185515948577	0.0	0.0	1.7431838549869918	0.0078631492923790531	0.0	1.2446613220264893	0.00087565961614347737	0.1055024556956265	0.0	0.73370068305709779	0.0	0.013184442035774596	0.0	0.0	1.0347448991089285	0.0	2.8652744085190789	0.0
15000	-532.54840830118371	-15.84698556380447	-447.50224063138199	-69.199182105997295	9.4023998281997923	0.49970359078206605	1	1	11.515086262364216	0.0	67.896088158793347	4.6684065119462081	2.992921597579925	1.8822129069358013	2.5587873126141409	3.7987524100853229	1.3294118649798179	1.903032564462499	10.018826167845123	2.4801091231783996	11.515086262364216	4.8368646190669029	8.4990796862259348	3.224495546610834	4.9553788254148525	1.4720689885801654	4.8334020709473098	3.1951507307270832	1.1711822926297049	0.0	0.0	1.8150218958345499	0.0078631492923790531	0.0	1.2224021885521554	0.00087565961614347737	0.0056400781334829397	0.0	0.18179151210666167	0.0	0.034552634556622164	0.0	0.0	1.3757694142572583	0.0	2.7951647910516502	0.0
16000	-532.25894858222705	-15.205495114261547	-448.54846476631013	-68.50498870165535	8.7640585665052875	0.61342096377232969	1	1	11.257317745993541	0.0	65.120856419920727	3.2483410746285286	3.2629986078408493	2.0798633937590569	2.3945489814414884	3.2658997490075965	1.4624874348742514	1.8216978587725439	9.8603960182467052	2.74713939385492	11.257317745993541	4.851963206620761	8.4457080998624292	3.2997192307899845	4.7916119567774507	1.5647597594131426	4.3054766322075917	2.9813371289131281	1.2011565046264678	0.0	0.0	1.7236203385138555	0.0078631492923790531	0.0	1.1216434709923504	0.00087565961614347737	0.0056400781334829397	0.0	0.81456725777282757	0.0	0.020801837924087296	0.0	0.0	1.3076154318138657	0.0	2.7189391336507001	0.0
17000	-531.5968134722491	-15.685221611072146	-446.55130095692971	-69.360290904247222	9.242841974096498	0.5500255233343182	1	1	11.345364377512837	0.0	66.542001883258436	3.3174423023581596	2.4872706620340255	1.9510407200466984	2.513506597297698	4.2198014970487128	1.3833607068596181	1.7783963218744301	10.185083079454932	2.4070254421783126	11.345364377512837	4.8453140079800265	8.2108828570002732	3.2275117843287822	5.13570872000526	1.4796942029530342	4.6390756120304024	3.1329082362408518	1.5624950187408628	0.0	0.0	1.7299273400834219	0.0078631492923790531	0.0	1.222443627708742	0.00014287090776202854	0.036899036331704271	0.0	0.10121747969569839	0.0	0.031217313012781397	0.0	0.0	1.4283352481878584	0.0	2.7218341974661322	0.0
18000	-528.18255009175471	-18.655734819868989	-441.39871095285218	-68.128104319033525	9.4073774017319245	0.53100737935089404	2	1	11.44679107047032	0.0	65.221719903834909	3.9125258130882385	3.0147597719489228	1.9217199389604729	2.3047255733505936	3.3542981636376101	1.3565230774212256	1.7897021681150667	10.127145636924368	2.4212892784775941	11.44679107047032	4.9478928095310204	8.2663620214320925	3.1792306917982995	4.8235630163682259	1.5283119928999536	4.4783453765409105	3.0767469370311469	1.5105523044827307	0.0	0.0	1.7930709667521785	0.0014893072279858772	0.0	1.1923421994233518	0.00014287090776202854	0.031817307748437884	0.0	1.0884354601367652	0.0	0.031217313012781397	0.0	0.0	1.3890525467066839	0.0	2.7111977667279428	0.0
19000	-527.13831206333134	-15.93292889714372	-442.92897871560922	-68.276404450578411	9.5342338956631831	0.53119332089296634	1	1	10.901278362268862	0.0	64.884751726902763	3.2154610939663457	3.008280083299689	1.9217745778456634	2.2451473671412172	3.2874078661423254	1.4821632067693327	1.8697688874169263	9.8956652883593605	2.4596908049104562	10.901278362268862	5.0574589629224622	8.1989998893410885	3.132099365704998	4.8384216595944007	1.4890436416421271	4.4584172300405953	3.0094844403007937	1.7630465111239904	0.0	0.0	1.8106105598299345	0.0014893072279858772	0.0	1.110539710577636	0.00014287090776202854	0.025614309040078942	0.0	0.11163946105776434	0.0	0.02553446432810845	0.0	0.0	1.4093145160136644	0.0	2.8539723129049488	0.0
20000	-521.15400460670799	-18.095600434657193	-434.3881296076836	-68.670274564367219	9.1728061408258306	0.53430714805255741	2	1	10.637092430605515	0.0	63.982999908085873	3.2730623885213639	2.6621964747582991	1.9069933603556617	2.2908323432936042	3.3715818026669946	1.3452318242500976	1.8163289488987266	9.9330296894383583	2.395124403229334	10.637092430605515	4.9420910466991934	8.1028578676874989	3.1211572642277035	4.8935167226340184	1.4874911920088469	5.1698347056561778	2.9076203603088686	1.6295540990017061	0.0	0.0	1.783756015116263	0.0014893072279858772	0.0	1.2868203988407911	0.00014287090776202854	0.01853210611905326	0.0	0.54574763041789276	0.0	0.0014016739526410971	0.0	0.0	1.374089740662483	0.0	2.890617272911232	0.0
