it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	
10000	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.31934531917427422	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.1747255434598399	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432	0.14461977571443432
11000	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.3514116109906823	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.10996169514723841	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389	0.24144991584344389
12000	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.3692043601999454	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.145971977295486	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594	0.2232323829044594
13000	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.23313475373258988	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.12246377490191597	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391	0.11067097883067391
14000	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.38828919106324744	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19752898776314887	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857	0.19076020330009857
15000	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.23713828643687446	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.1271744355863893	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516	0.10996385085048516
16000	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.26692184728986262	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.19160859186239254	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083	0.075313255427470083
17000	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.27655347186914059	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.085524327412548604	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197	0.19102914445659197
18000	0.13980358076280336	0.13980358076280336	0.13980358076280336	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.27627124231407563	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	0.14193121323174493	-0.0021276324689415704	-0.0021276324689415704	-0.0021276324689415704	0.1343400290823307	0.1343400290823307	0.1343400290823307	0.1343400290823307	0.1343400290823307	0.1343400290823307	0.1343400290823307	0.1343400290823307
19000	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.2567518125327341	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.10286059009358263	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149	0.15389122243915149
