Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica	Temperature	Humans
0	0	0	0	0	1	0	0	-0.860855928499215	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.43211082204758	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.33916465842068	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.73394683812784	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.24075677922848	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.5010988927266	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.383865353982256	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	0.286926172660097	1	1	1.13438348486155	0
0	0	1	0	0	0	0	0	0.0777323234692196	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	0.576522505383438	0	1	0.829857591963752	0
0	0	0	0	0	0	1	0	0.775455476738669	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	-0.452405327655442	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.24040133575467	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-2.02805314348151	0	1	0.829857591963752	0
0	0	0	0	1	0	0	0	0.994868790784681	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	0.661113922145065	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.13381407336469	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.22485759499213	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	-0.727379260458517	0	1	0.829857591963752	0
1	0	0	0	0	0	0	0	2.4001715424926	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.911438012726673	0	1	0.829857591963752	0
0	0	0	0	1	0	0	0	1.28607752040546	1	1	1.13438348486155	0
0	0	0	1	0	0	0	0	0.339951738663301	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	0.104804379146028	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	-1.2853800723377	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	-0.29823540144586	0	1	0.829857591963752	0
1	0	0	0	0	0	0	0	1.0370198464205	1	1	1.13438348486155	0
0	0	0	0	0	0	0	1	-0.523893160455252	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	-0.039055437316151	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.864951550354429	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	1.01365592536892	0	1	0.829857591963752	0
1	0	0	0	0	0	0	0	0.433724135402453	0	1	0.829857591963752	0
1	0	0	0	0	0	0	0	1.21938662051355	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	-0.342512296176713	0	1	0.829857591963752	0
0	0	0	1	0	0	0	0	0.960078129603739	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	0.936761815121021	1	0	1.25567411260015	0
0	0	1	0	0	0	0	0	1.45522536847649	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.856294824307102	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	0.965772761318089	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.851265857398909	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.60866955184873	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.253095376668628	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.163770812275833	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.613611635795954	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.661035387319141	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.10548654146965	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	0.844368647636117	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	0.109527730734679	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	1.01230379314612	0	1	0.829857591963752	0
0	0	1	0	0	0	0	0	2.21867639402583	1	0	1.25567411260015	0
0	0	0	0	0	0	0	1	-0.832534833036745	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	-0.107727530209355	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	0.427287269542879	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	-0.0150588487845848	0	1	0.829857591963752	0
0	0	1	0	0	0	0	0	-0.402844813633418	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	0.257182247623156	0	1	0.829857591963752	0
0	1	0	0	0	0	0	0	0.593581557348831	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	0.686581367490923	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.03580784118654	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.443436639727143	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	1.62929156868463	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	-0.0489909676564967	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.67900382743263	1	0	1.25567411260015	0
