it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.467	t_1.382	t_2.212	t_2.672	t_3.226	t_4.147	t_4.971	t_5.431	t_5.99	t_6.912	t_7.834	t_8.755	t_9.677	t_10.599	t_11.52	t_12.442	t_13.363	t_14.285	t_15.207	t_16.128	t_17.05	t_17.971	t_18.893	t_19.815	t_20.736	t_21.658	t_22.574	t_23.035	t_23.501	t_24.423	t_25.344	t_26.266	t_27.187	t_28.109	t_29.031	t_29.952	t_30.874	t_31.796	t_32.717	t_33.539	t_34.0	t_34.56	t_35.482	t_36.404	t_37.325	t_38.247	t_39.168	t_40.09	t_41.012	t_41.933	t_42.855	t_43.776	t_44.698
43000	-234.52267420513607	-142.33518624333874	-92.18748796179732	1.0	2.1250501978471545	6.0	16.25582912192179	27.42680851432616	29.298955199374355	16.894862643139618	26.70501141764392	18.902329068529223	23.180724437810053	27.46710039074836	57.589421292997834	62.31239551948448	60.92450430010699	61.32844034837143	100.96230674114682	60.601821416510475	58.532916368600624	57.80559414791176	57.34381446926915	32.41037751178142	54.16619147334747	55.76688476262301	60.00926814488799	48.368820271557475	33.08874901089758	32.574879232317016	18.00480516756476	44.784424095549696	17.54069956882144	23.98353161112219	17.934891832861403	8.113396673893277	7.674765579701096	2.1901234268243113	8.191875489593919	4.7509996306413464	6.285519359199188	21.41131518813674	10.338802231582765	5.188767238969265	8.690437081735709	12.988600526729744	2.9775483034951487	9.481371233767778	13.025635887446407	19.346844638465264	18.678622703687708	3.131127212091257	4.336286742919475	2.982413269995512	1.8292519397577174	2.596924838398955	0.7627890005443871	1.6426152428986813	2.328568500625895
43500	-231.38406853560767	-140.71120432317244	-90.67286421243523	1.0	2.1926286660902727	6.0	16.432519225900634	24.690383768834465	32.837032232848415	16.6067877610114	25.695205150076067	22.49838182590166	25.161398943710434	39.93105713427212	44.65112639587697	73.88462425741685	69.1798717100373	78.30338475797284	108.77884240216612	65.53162489749633	60.06698348237614	47.600996277300766	52.7121870762763	41.845858059424614	44.88481467554546	77.55485663424743	60.06513612350643	57.165321754785026	40.506667570683355	46.33602236901072	11.668251166408753	29.238641059437022	25.22068294168304	37.09977040753265	40.59568460058625	12.867383816075943	6.447579583237138	4.529230063407866	4.256065630353573	3.2316803045487186	7.6307165228711336	7.451944294000909	24.48324269838581	3.0205947755146267	9.194247241548046	8.702008097320947	4.593194532664475	6.449043490817857	17.20988101571796	16.154430565285146	16.166562343484536	1.3951691749577755	5.204432798036266	2.275292786946865	4.0064540759117335	1.626956006762192	1.1781632677011802	0.841273250301294	3.0357591387689737
44000	-228.948425723353	-139.24135565383136	-89.70707006952165	1.0	2.5860564296203217	6.0	16.450048644585543	26.842485133742805	35.90268211908195	24.894197971142056	23.209638162863733	24.829320383730618	18.093540377382105	38.29205760865749	62.26966744629237	64.49909722693357	61.806647037579246	51.76912594670354	86.57205247641448	55.83226467341071	73.49848659775411	45.3939426287362	55.46443651552539	48.83509223732992	55.013219981991526	63.53679285080981	63.29756770407416	62.90933073112302	48.759927632540965	25.38665449932468	14.729639130190348	33.264383747961546	14.836619074850878	30.439951570952438	33.365970342922225	9.81791458780177	8.136755877882663	3.8789021082326136	5.504042637215079	3.6704173850528194	3.579245060181525	9.014736702623825	19.140683247425272	7.276017489380973	10.0036294741253	13.12332560875877	6.537713835136762	11.162220660274953	21.567445138794433	20.163061374676197	11.074006055273331	2.4060162621937944	2.1846548224460114	2.038906579540227	6.0670472494282395	2.13483872526182	3.3508963590076037	0.867395049119457	3.007531150176621
44500	-235.52710860657814	-141.65969669471497	-93.86741191186317	1.0	3.701419146800902	6.0	16.615562771984358	25.984116196393163	35.756029860328496	20.61391559338721	24.72043784257104	27.768597561077943	23.4143243085448	71.1629623379467	74.90392069759173	65.66445701959722	52.79973799340747	65.49488705774763	81.33179197122628	52.99894895224085	63.298849186462675	43.52062384783625	56.383433584367964	39.42483781974487	65.80091595038664	61.367978916884695	63.785252766464325	78.31991625009519	53.93330438174526	27.884025377499434	14.262376910931565	32.80850832726074	19.773836707468924	24.04464360245051	25.75173672825968	10.906692423269028	10.3184956281352	14.381149627065286	6.090846857268383	2.8035385004237803	1.9767143101750533	16.14533616387494	12.35387016051032	11.713830684899373	9.188531987869169	11.205308315239895	7.3833804983031275	9.191790685823294	20.554018367620284	9.833411189209876	19.98755134802178	2.16171454489459	2.5533083143983104	4.282750240172201	3.432498348446245	2.6637454131720757	1.6768908346668245	0.9183727305497763	1.5795857835315144
45000	-274.1553579195037	-184.55562685633953	-89.59973106316413	1.0	1.768278768639144	6.0	16.277980250020555	18.701708607274316	28.45543059873472	20.205651054926285	27.84686531736669	19.617798734246062	20.948462806799007	38.576132705354794	44.98797865917713	50.37160615113811	40.71341906033585	55.09372647773317	56.55112905350788	40.66345151194945	45.56682506136147	25.899278114367863	47.89168595154477	29.979090629728162	36.58011125128071	46.066270868058176	36.730905881281366	35.829273021117274	36.72101683909979	27.836440585453655	9.860494269884398	21.596222344899243	12.605784312314352	22.37840414553571	22.40577954793226	7.095686356757918	18.633409044769188	9.522100685621268	6.174482707949408	2.4856057552833217	1.0834829840557616	5.550465410123369	12.961650879637364	6.542906336778398	15.754287498984137	12.170218082820881	9.281672288476683	8.392951358128421	16.91691358780153	22.17661772326707	9.299000735972992	1.5085079456907784	1.9687695930949642	4.210553398030114	11.452322209943667	2.621938825135068	0.8537601060696646	0.307805301269403	1.094397343794776
45500	-232.68171427004918	-141.00874851800683	-91.67296575204236	1.0	2.325624718660201	6.0	16.805699021204532	18.803749727569322	25.00943768576297	16.840718456739253	24.31725185091998	18.960766891768262	17.589180946500328	34.08352022046975	39.274132405246476	50.6580102860559	38.28258597417478	53.8625015585931	71.51881900387575	34.994286750131586	41.61501719334409	29.554046699047852	34.04614811177598	27.362458893037203	34.28528907983768	43.68051876906897	36.028958567178954	34.678127798309355	29.073666573625705	26.134250211464884	8.462420218958531	17.5280006902872	10.246088253024197	18.93246278386721	19.106812816829745	6.332814388117626	9.912368347851585	5.004390976300418	4.318661870844174	2.356047807194158	1.2658920495199917	4.680422128160275	9.119753826818584	2.804600764914068	6.75065435194678	13.15908355792224	11.58198262501973	4.64914539887553	13.0079050853295	9.390908287818318	6.914066119130902	1.4381329697717102	1.6036250946520658	1.7231382003722644	11.741928462570177	5.8929039831327	0.8084941281916528	0.3585795210393456	1.0574443734351864
46000	-216.2986060984374	-126.33213056068082	-89.9664755377566	1.0	2.3731171745569424	6.0	16.64819709216226	18.06023221609003	25.32190421829159	18.49553829352648	25.28124965523916	18.643794608517467	19.917337441719795	23.52108773259283	40.08101211999662	43.745625295529685	35.36715539612005	51.37003525676204	58.90687540445294	34.68765208595315	42.16303493542411	30.160653000666898	35.72642752065915	26.488999157132266	31.128378944848297	42.852696828543415	34.106871113053714	43.37957002664612	31.34001429110358	21.518948181706804	10.549252882884883	19.45390461715639	10.168378007927956	15.885825478382369	15.397093182565671	10.617289356695839	7.414418824934993	5.199346278435588	2.7235067707901472	2.4745013874009345	5.3398813078299945	5.92122139659719	13.34950978609329	2.6127090902679635	6.150861013475973	12.578259225905244	9.165073141781777	4.731362693265726	11.56965661569543	6.3239962232557705	9.049465613294572	1.4970879090716924	1.132259150137147	3.699292368046205	2.9222002075838596	6.69711389579857	1.5883653314132171	0.45634838510046766	1.033834508278721
46500	-225.77012893930015	-135.56561373516658	-90.20451520413359	1.0	1.7356210954058129	6.0	16.77031681136206	18.228279540315313	24.897064589507373	17.651375364658	24.499495265397506	17.499887793546577	18.849475082321682	39.893226171205555	52.80646441173285	44.05829559180528	40.1525903062394	52.19992392658424	57.35978472749218	31.386416679765468	36.46650732425794	30.46616658398581	33.34565294945169	25.75516843342733	30.427186992845453	45.895935966652644	34.61101661793161	43.6043917785242	29.174767465092124	21.419332004178802	8.042862933576131	16.310597978030998	9.346324981808715	13.253761730711641	16.61731072741135	12.855867928139734	10.024923184356425	6.288300725481022	2.9804646914771564	2.3978735789715233	4.6263871953871085	4.005185030917131	14.597196644609255	4.152063250737111	10.909025418837302	11.538335064304043	4.575114922696965	3.9262199156954773	7.790914459040541	7.2331266183446425	9.020597365603672	3.003452488219956	1.2623867521672778	4.436189763308267	1.3781231327114065	4.04445652497638	2.9610590986063436	1.4166203982573038	1.0266415373806765
47000	-218.49377428413857	-127.37015584782745	-91.1236184363111	1.0	1.822976670822299	6.0	17.49350536124969	18.160185198891504	27.119875165585224	15.495419835224897	22.75282625227409	15.421271187716142	16.288135409299898	23.71935817134648	48.420231810468884	40.40986347162604	32.98944864239156	42.93499463978976	57.1560446083828	35.57362919737767	39.09446459645652	33.37235044764075	37.406540051146024	25.48191031929729	29.24903455565031	38.95430295279949	34.213577249698766	33.770004132298546	25.816359494046615	22.31563717646054	8.47862171387517	17.907485660335418	10.053134560530781	18.878038181100834	17.98101824113251	7.981885474223558	6.420874746261255	5.1723923935463	4.209724193827362	2.5956368834442314	1.8970086404471018	4.84252889466527	16.883589891233566	4.171941671749544	11.283381647181992	7.498593246870464	3.5380867383954544	3.914475922742632	11.094642268179927	8.209815762630342	8.160801042164056	1.579298156778209	1.3660336784352727	3.2002275859902625	2.187139263839887	2.8779815208620834	3.6028249020444933	2.7151915098400936	1.0383376052674176
47500	-213.87100853877638	-121.74599272898772	-92.12501580978868	1.0	2.9082832327906156	6.0	17.65133844442059	17.38368787067105	24.793645630491003	16.321274742820208	22.78882767047095	17.15344267945276	15.757729299769991	36.00110717068573	38.088587167091475	50.068140474297856	40.00557645394022	49.304276545096556	65.99102055268202	29.07420832333257	42.18593148803379	29.501226974903886	34.340343775357425	31.58419104830767	40.027982726980966	44.78967982005555	36.871149041597775	38.03415927187153	30.82612783473444	23.063084542329126	7.110444478556767	18.170530949338684	10.15369441481229	19.930437396021055	19.930859154507978	7.0536615519453125	6.047796583977748	3.105073578986376	2.7355675720226915	2.3625707772288713	4.780394987321249	4.643904271046571	7.6857747977303745	2.641661081835212	7.288244384382542	5.522756345500453	4.376549826855332	4.070950933240044	14.243758679952492	8.910885127318643	5.820966229395379	0.8112582966120625	1.4894511284172203	1.7193661180444268	3.6950105892099128	2.927653036396015	2.2172670985945864	1.5611564548610972	1.0414296563345389
48000	-214.6524299317328	-127.49038756293514	-87.16204236879767	1.0	1.9364426459314663	6.0	16.514163123759435	17.50818263252478	23.625417471682965	14.999431578441417	23.33674750485461	17.776088188879505	15.736937824830267	27.263832056183016	38.53799083166682	44.74200044126092	37.297792775455186	55.43951323559742	56.97996639368339	29.919039748181756	40.277995270083075	33.2972616292325	35.54234882996716	28.668651598719123	31.756182823562803	37.17018482554625	37.97128671528011	44.8449459645022	30.122480877624085	25.089643906745955	7.032228916949301	18.14487026750453	12.799679328798273	15.669022000590132	16.237442610620278	11.909454441168762	7.2327881485544046	2.5525219370772647	3.0036673386745454	2.6528360851305894	1.8590995293307477	3.182238941233855	8.35824535065458	6.9343733520935515	7.504214357322621	9.653118427343877	6.386107035477206	4.883125101802676	8.194794593353507	9.388087576931166	5.601106116413307	0.9453471691858987	1.6049220621236127	0.9188614963814856	2.1381455113547223	5.361642575691174	3.634303459129755	1.3566395218817036	1.0509630475460403
48500	-204.11893078167088	-116.07719786094886	-88.04173292072203	1.0	1.6972705700305017	6.0	16.523707726240477	17.141933882003944	24.532940904322537	14.617596183024393	21.978457704339146	18.909642103611404	16.215438853844955	27.07355690812356	41.10195322729013	44.26218362858583	43.720021377817346	50.2773911931467	62.518221905217445	30.540121321804733	37.972900699283514	34.21194763465208	35.65720438636849	31.849191502058858	30.20569539576836	37.27963207707508	35.46005934463373	42.039280905895836	28.953838266171378	23.126023187112825	7.743825045908294	17.07809643221415	10.135616985406148	12.310835128555873	13.530775065214481	9.181793455921403	5.354652248830629	2.062392495058093	4.662388162074209	2.676361145169994	1.8080809137827327	2.7298298389770834	5.77211505133741	1.9308294350105517	5.499161482764871	10.226219961563052	3.641149444805573	4.046154469081202	7.586237429627882	6.612008720156478	4.360959911581915	1.1389842519535076	1.373723878547716	0.8348528281668945	2.5003337738291376	5.103201199453641	2.201947574771572	2.0386508915135635	1.1958234561604584
49000	-205.3922994736352	-116.35313137720706	-89.03916809642814	1.0	1.6669345822143258	6.0	16.806355414215762	17.273096399902165	24.362943894319553	16.86652481717139	23.224344403744386	18.62566695575346	16.48650970857667	25.504632838713043	33.08612281097353	44.92025395936254	31.544285263655652	44.802629329378505	56.2666851238544	33.079920957503035	40.89670520965974	23.245589289818156	40.260894387292225	27.55439975755269	31.808590190043347	41.63655783929347	40.618982083050746	36.243985647801	28.668958713938196	23.530650650455033	8.262396812605415	18.940989741704694	10.029476497902301	15.92680129366642	16.047068054317407	7.086468127308109	5.062370614632549	1.599515099544882	5.09411145988049	2.976952332889975	2.6692915609509056	2.590398550277638	4.553002198463866	1.4375620853857671	4.758645893790224	5.998781841001204	3.6788062017624834	7.191862922097234	6.635081576433258	7.051045693755004	4.939897075873809	2.324656396340739	1.6344549262482069	0.5783909870248498	1.644398078798608	3.890077149198273	2.662982344943422	1.3330879994616274	1.2513098812449588
49500	-200.23719297803927	-111.70056897870819	-88.53662399933107	1.0	1.4177789208085714	6.0	16.704114235915178	17.420419997396532	24.474138207216786	18.424243008141147	23.693006549845645	16.177984038608503	15.617496364574196	23.855973633570102	31.79784846793899	46.14513146337351	41.18275684226302	48.62337651607794	56.3848678953124	33.41084423240415	40.28558835824197	27.478343954935703	30.747022175043117	26.531645393373953	37.63071461279411	42.22216832773523	46.18152462973824	35.763357797682694	30.346043761116693	19.066220027516316	10.042870016412905	20.607840109432786	15.472077753785644	11.609873585386557	10.093078003729968	7.08613054362549	4.282240719050375	2.7366180891637044	5.747487639106308	3.3781050793346665	1.152977441460477	2.4514879605875453	4.003251911695479	2.3590080051761193	5.077974432617404	6.021020053370702	4.486643654347947	4.574689110907965	7.042899302067413	6.295821029676406	3.964993454828207	1.1657710521442124	1.9279220261434644	0.6569374700014845	1.101229578656614	2.3339463419317985	1.356712131484535	2.838121773340705	1.2614541202956098
50000	-196.97202274435347	-108.46462086157317	-88.50740188278029	1.0	1.8280668241470803	6.0	16.461338010737713	17.5146168678484	24.716178977398226	12.18152949387991	23.268581333020038	18.006041352258663	15.6981792522415	21.556827692177535	38.96662298661745	48.048344334569514	37.14721892148431	51.552964754630096	56.167954770266014	34.306775760589275	33.43029401146275	29.91037510100935	38.453011395467165	29.97217414824715	30.998244600395914	43.15505522397122	38.00244490526765	33.98340582364123	30.191482041076753	23.933588189332617	9.445244146349348	19.87983235033121	10.495535572536673	13.956707895578171	12.081201858006114	8.385441400374022	5.891348269735559	7.137720492932553	5.982150404065916	2.780021502468719	0.9151071056745357	2.683988888497387	3.6360944542785907	1.7508808845487525	5.581743969103226	5.494548380403897	4.122589949622295	5.534428983828617	9.932704654999801	6.315280906264481	3.7719802833829577	0.8717401279270371	1.9035417259082692	0.9100205218548467	1.3192620812782188	1.9243848761489475	0.4810958213059549	0.8411335441264468	1.2191383671103584
50500	-226.2053774676552	-135.9411382074556	-90.26423926019962	1.0	2.563079856884404	6.0	16.417235049529445	17.453578615622064	26.071664057124153	13.036953151112282	31.75690226214418	19.972353243708877	17.253775367350038	30.72477406822023	56.25229000357045	65.69635540749073	39.59281123730396	50.496904902824994	69.92654683447601	31.87845692146543	46.87745285864511	38.69397529865204	48.006140609731005	38.20405952750773	51.92400603713137	53.640655627624454	38.67353633310689	49.52003438016263	33.548095419280095	26.809158190196108	8.198845906692686	21.869150883288675	15.898645972048623	17.76125418169858	16.548560126221112	13.648736784590326	8.069994645112903	6.341303771573346	6.388391893748954	3.30574891326419	1.0619379740680317	2.94330871898239	3.3568109418449366	2.426958649399977	8.289556115443766	4.740893593644494	9.50165947528084	6.410531873195047	13.737961547648625	5.5349699549546	4.233643834063173	1.2641753455005382	1.2980851905763218	0.5369108649452412	1.304642035875348	1.5431650397557763	0.38249614462257475	0.7164008430775654	1.6546146965700446
51000	-226.6852947352187	-139.39242060436752	-87.29287413085116	1.0	1.6787448336668018	6.0	16.150760824571744	17.90917002111222	25.66387523925659	19.83229321211217	25.081998779292505	16.16129247154429	18.277272391226667	33.285833294707516	46.666350593196654	48.6737746010148	37.578529863951275	48.57539733335275	56.957549815049376	32.17333265460127	41.08241146408369	28.479013828120024	34.177278893114135	36.190849358423584	37.79602106439001	41.20650519460267	41.11326944980385	36.107438081367484	33.349262925936316	23.357412025521725	7.017920186882991	19.710599996985657	13.482240271162649	15.836147533102848	17.296300426667795	11.430624275294107	10.121958069596584	7.193367464309638	6.412703871326768	4.046603716515598	0.5481211387844044	3.7418424139248536	3.179617459256928	3.3466316166803067	8.509343251867694	6.0452639314875505	6.287730526136808	5.3022712034707595	13.21225546449602	5.7603175963331985	4.092455910451999	2.446539034598644	1.561322031264659	0.6098625750775193	0.9885697498699193	2.2655075704962577	0.988798022985796	1.6505812980606707	1.5389237377530085
51500	-213.22627806140162	-125.80995388314949	-87.41632417825214	1.0	2.468407688430701	6.0	16.199568603556493	19.6909117674326	24.857000727195736	17.247654399165825	22.784126679927347	17.06692204422488	17.34325980254088	31.428933666599743	35.97148789616743	37.04964276153181	31.14025699671804	46.64144360318773	55.87531800802007	33.43197115509367	38.88709564647165	35.286149104714	36.1087019306238	29.567666088368846	30.764241601287832	43.06639340915577	32.64549605987386	40.901848169215874	28.409267048716814	21.20302520813483	7.088373904441636	21.992786571686754	12.314505186802984	10.762033432567515	11.996808320414917	10.71552030874166	6.2896492556544406	9.283413166067104	6.789176661684868	5.158089733836148	0.9139554220335201	4.1179111142855405	3.4414830283437783	1.8448941465784707	5.054418806232487	4.739215281800867	5.551659496455931	4.46431440547884	8.522965300651439	6.238034896314068	4.634324215174157	2.649261673486171	1.506626464886226	0.973190394774344	0.893370680771758	1.1793188485501387	1.089135631999673	2.5836906132913597	2.3779899225041836
