age	temp
0.604	-3.09533333333333
0.606	-3.3652
0.608	-2.91933333333333
0.61	-2.55266666666667
0.612	-2.846
0.614	-2.40893333333333
0.616	-1.9484
0.618	-1.9308
0.62	-2.27986666666667
0.622	-3.0484
0.624	-4.782
0.626	-3.37986666666667
0.628	-6.146
0.63	-6.5508
0.632	-6.52146666666667
0.634	-6.60946666666667
0.636	-6.30146666666667
0.638	-6.28386666666667
0.64	-6.02866666666667
0.642	-5.88493333333333
0.644	-5.89666666666667
0.646	-5.6884
0.648	-5.46546666666667
0.65	-5.398
0.652	-5.5476
0.654	-5.19853333333333
0.656	-5.3012
0.658	-5.134
0.66	-5.0372
0.662	-5.05773333333333
0.664	-5.09
0.666	-4.71453333333334
0.668	-5.41266666666667
0.67	-5.04893333333333
0.672	-4.70573333333333
0.674	-5.002
0.676	-4.71746666666667
0.678	-3.62333333333333
0.68	-4.44466666666667
0.682	-4.3068
0.684	-4.53266666666667
0.686	-3.9724
0.688	-2.68466666666667
0.69	-3.0396
0.692	-3.40333333333333
0.694	-2.758
0.696	-2.78146666666667
0.698	-2.67586666666667
0.7	-2.26813333333333
0.702	-2.25933333333333
0.704	-2.53213333333333
0.706	-2.06866666666667
0.708	-2.3796
0.71	-2.98093333333333
0.712	-3.08066666666667
0.714	-3.15986666666667
0.716	-2.91933333333333
0.718	-4.3068
0.72	-4.01053333333333
0.722	-4.4212
0.724	-4.81133333333333
0.726	-4.75853333333333
0.728	-4.2716
0.73	-3.89906666666667
0.732	-3.56173333333333
0.734	-3.57053333333333
0.736	-3.58226666666667
0.738	-3.68786666666667
0.74	-3.9724
0.742	-3.82866666666667
0.744	-4.85533333333333
0.746	-4.74093333333333
0.748	-5.32466666666667
0.75	-4.57666666666667
0.752	-4.89933333333333
0.754	-4.37426666666667
0.756	-4.694
0.758	-4.52093333333334
0.76	-4.44466666666667
0.762	-4.10733333333333
0.764	-4.19533333333333
0.766	-4.12786666666667
0.768	-3.4884
0.77	-3.49133333333334
0.772	-3.64973333333333
0.774	-3.0748
0.776	-2.84893333333333
0.778	-2.758
0.78	-1.83986666666667
0.782	-2.22413333333333
0.784	-2.43533333333333
0.786	-1.86333333333333
0.788	-1.36173333333333
0.79	-2.41186666666667
0.792	-2.79613333333333
0.794	-3.90493333333334
0.796	-5.01666666666667
0.798	-5.882
0.8	-5.58866666666667
0.802	-5.11053333333333
0.804	-5.20733333333333
0.806	-4.9932
0.808	-4.3772
0.81	-3.858
0.812	-4.4036
0.814	-3.76413333333334
0.816	-3.52946666666667
